<doc id="fb_17590302_SebastianF" delinquent_sexes="male" title="Todesurteil Sebastian F." attrs="word lemma pos vocab id">
<p id="fb_17590302_SebastianF_p_0001">
Es	es	PPER	Duden	tu_70_xTok_000155
ist	sein	VAFIN	Duden	tu_70_xTok_000157
dieser	diese	PDAT	Duden	tu_70_xTok_000159
Delinquent	Delinquent	NN	Duden	tu_70_xTok_000161
all=schon	allschon	ADV	oov	tu_70_xTok_000163
Anno	annus	FM	G-LDHW	tu_70_xTok_000165
1740.	1740	CARD		tu_70_xTok_000167
zum	zum	APPRART	Duden	tu_70_xTok_000169
ersten=	erste	ADJA	Duden	tu_70_xTok_000171
mal	Mal	NN	Duden	tu_70_xTok_000171b
wegen	wegen	APPR	Duden	tu_70_xTok_000172
eines	ein	ART	Duden	tu_70_xTok_000174
ihme	er	PPER	Duden	tu_70_xTok_000176
dazumal	dazumal	ADV	Duden	tu_70_xTok_000178
zugemuteten	zumuten	ADJA	Duden	tu_70_xTok_000180
<g/>
,
auf	auf	APPR	Duden	tu_70_xTok_000183
offentlicher	öffentlich	ADJA	Duden	tu_70_xTok_000185
Gassen	Gasse	NN	Duden	tu_70_xTok_000187
alhier	allhier	ADV	Duden	tu_70_xTok_000189
beschehenen	beschehen	ADJA	DWB	tu_70_xTok_000192
Degen=diebstahls	Degendiebstahl	NN	oov	tu_70_xTok_000194
gefänglich	gefänglich	ADJD	Duden	tu_70_xTok_000196
eingezogen	einziehen	VVPP	DWB	tu_70_xTok_000198
<g/>
,
den	d	ART	Duden	tu_70_xTok_000201
folgenden	folgend	ADJA	Duden	tu_70_xTok_000203
Tag	Tag	NN	Duden	tu_70_xTok_000206
darauf	darauf	PAV	Duden	tu_70_xTok_000208
aber	aber	ADV	Duden	tu_70_xTok_000210
<g/>
,
wegen	wegen	APPR	Duden	tu_70_xTok_000213
sich	sich	PRF	Duden	tu_70_xTok_000215
nicht	nicht	PTKNEG	Duden	tu_70_xTok_000217
geäusserten	äußern	ADJA	Duden	tu_70_xTok_000219
Schadens	Schaden	NN	Duden	tu_70_xTok_000221
für	für	APPR	Duden	tu_70_xTok_000223
diesmal	diesmal	ADV	Duden	tu_70_xTok_000224
mit	mit	APPR	Duden	tu_70_xTok_000226
einem	ein	ART	Duden	tu_70_xTok_000228
scharfen	scharf	ADJA	Duden	tu_70_xTok_000230
Verweiß	Verweis	NN	Duden	tu_70_xTok_000232
entlassen	entlassen	VVPP	Duden	tu_70_xTok_000234
worden	werden	VAPP	Duden	tu_70_xTok_000236
<g/>
;
worauf	worauf	PWAV	Duden	tu_70_xTok_000239
er	er	PPER	Duden	tu_70_xTok_000241
den	d	ART	Duden	tu_70_xTok_000242
12ten	12	ADJA		tu_70_xTok_000244
Jan.	Januar	NN	Duden	tu_70_xTok_000247
1742.	1742	CARD		tu_70_xTok_000250
wegen	wegen	APPR	Duden	tu_70_xTok_000252
Holz=dieberey	Holzdieberei	NN	DRW	tu_70_xTok_000254
zum	zum	APPRART	Duden	tu_70_xTok_000256
zweyten	zweite	ADJA	Duden	tu_70_xTok_000258
mal	Mal	NN	Duden	tu_70_xTok_000260
in	in	APPR	Duden	tu_70_xTok_000262
Arrest	Arrest	NN	Duden	tu_70_xTok_000264
gerahten	geraten	VVPP	Duden	tu_70_xTok_000267
<g/>
;
und	und	KON	Duden	tu_70_xTok_000270
hat	haben	VAFIN	Duden	tu_70_xTok_000272
man	man	PIS	Duden	tu_70_xTok_000274
ihne	er	PPER	Duden	tu_70_xTok_000276
in	in	APPR	Duden	tu_70_xTok_000278
4.	4	CARD		tu_70_xTok_000280
Tägen	Tag	NN	Duden	tu_70_xTok_000282
darnach	darnach	PAV	Duden	tu_70_xTok_000284
mehrmalen	mehrmalen	ADV	DWB	tu_70_xTok_000286
