<doc id="fb_17580318_MathiasB" delinquent_sexes="male" title="Todesurteil Mathias B." attrs="word lemma pos vocab id">
<p id="fb_17580318_MathiasB_p_0001">
Es	es	PPER	Duden	tu_68_xTok_000161
hat	haben	VAFIN	Duden	tu_68_xTok_000163
dieser	diese	PDAT	Duden	tu_68_xTok_000165
Delinquent	Delinquent	NN	Duden	tu_68_xTok_000167
allschon	allschon	ADV	oov	tu_68_xTok_000169
im	im	APPRART	Duden	tu_68_xTok_000171
Jahr	Jahr	NN	Duden	tu_68_xTok_000173
1748.	1748	CARD		tu_68_xTok_000175
zu	zu	APPR	Duden	tu_68_xTok_000176
Wilhelmspurg	Wilhelmsburg	NE::top	oov	tu_68_xTok_000178
auf	auf	APPR	Duden	tu_68_xTok_000180
dasigem	dasig	ADJA	Duden	tu_68_xTok_000182
Markt	Markt	NN	Duden	tu_68_xTok_000184
einigen	einige	PIAT	Duden	tu_68_xTok_000186
Krammers=leuten	Kramerleute	NN	oov	tu_68_xTok_000188
verschiedene	verschieden	ADJA	Duden	tu_68_xTok_000191
Kleinigkeiten	Kleinigkeit	NN	Duden	tu_68_xTok_000193
diebisch	diebisch	ADJD	Duden	tu_68_xTok_000195
entzogen	entziehen	VVPP	Duden	tu_68_xTok_000197
<g/>
,
derentwillen	derentwillen	ADV	Duden	tu_68_xTok_000201
er	er	PPER	Duden	tu_68_xTok_000203
gleich	gleich	ADV	Duden	tu_68_xTok_000205
darauf	darauf	PAV	Duden	tu_68_xTok_000207
zu	zu	APPR	Duden	tu_68_xTok_000209
Lilien=feld	Lilienfeld	NE::top	oov	tu_68_xTok_000211
handfest	handfest	ADJD	Duden	tu_68_xTok_000213
gemacht	machen	VVPP	Duden	tu_68_xTok_000216
<g/>
,
und	und	KON	Duden	tu_68_xTok_000219
mit	mit	APPR	Duden	tu_68_xTok_000221
6.=monatlicher	sechsmonatlich	ADJA	Duden	tu_68_xTok_000223
Gefängnuß	Gefängnis	NN	Duden	tu_68_xTok_000226
abgestraffet	abstrafen	VVPP	Duden	tu_68_xTok_000228
worden	werden	VAPP	Duden	tu_68_xTok_000232
ist	sein	VAFIN	Duden	tu_68_xTok_000234
<g/>
;
