<doc id="fb_17400304_CatharinaH" delinquent_sexes="female" title="Todesurteil Catharina H." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_17_xTok_000344
des	d	ART	Duden	tu_17_xTok_000347
Verbrechen	Verbrechen	NN	Duden	tu_17_xTok_000349
dieser	diese	PDAT	Duden	tu_17_xTok_000352
Maleficantin	Malefikantin	NN	Duden	tu_17_xTok_000354
<g/>
.
</head>
<p id="fb_17400304_CatharinaH_p_0001">
DJe	d	ART	Duden	tu_17_xTok_000357
aussenbenahmste	außenbenamst	ADJA	oov	tu_17_xTok_000360
anheut	anheute	ADV	DWB	tu_17_xTok_000362
verurtheilte	verurteilen	ADJA	Duden	tu_17_xTok_000364
Delinquentin	Delinquentin	NN	Duden	tu_17_xTok_000366
ist	sein	VAFIN	Duden	tu_17_xTok_000369
in	in	APPR	Duden	tu_17_xTok_000371
das	d	ART	Duden	tu_17_xTok_000373
allhiesige	allhiesig	ADJA	DWB	tu_17_xTok_000375
Zucht=	Zuchthaus	TRUNC	Duden	tu_17_xTok_000377
und	und	KON	Duden	tu_17_xTok_000379
Arbeits=Hauß	Arbeitshaus	NN	Duden	tu_17_xTok_000381
wegen	wegen	APPR	Duden	tu_17_xTok_000383
wiederhollter massen	wiederholtermaßen	ADV		tu_17_xTok_000385
begangenen	begehen	ADJA	Duden	tu_17_xTok_000389
s.	salvus	FM	G-LDHW	tu_17_xTok_000391
v.	venia	FM	G-LDHW	tu_17_xTok_000393
Hauß=Diebstahl	Hausdiebstahl	NN	DWB	tu_17_xTok_000396
<g/>
/
und	und	KON	Duden	tu_17_xTok_000401
gebrochener	brechen	ADJA	Duden	tu_17_xTok_000403
Urphed	Urfehde	NN	Duden	tu_17_xTok_000405
zum	zum	APPRART	Duden	tu_17_xTok_000407
zweyten	zwei	ADJA	Duden	tu_17_xTok_000409
mahl	Mal	NN	Duden	tu_17_xTok_000411
auf	auf	APPR	Duden	tu_17_xTok_000413
3.	3	CARD		tu_17_xTok_000415
Jahr	Jahr	NN	Duden	tu_17_xTok_000418
lang	lang	ADJD	Duden	tu_17_xTok_000420
condemniret	kondemnieren	VVPP	Duden	tu_17_xTok_000422
worden	werden	VAPP	Duden	tu_17_xTok_000425
<g/>
/
nun	nun	ADV	Duden	tu_17_xTok_000429
hatte	haben	VAFIN	Duden	tu_17_xTok_000431
selbige	selbige	PDS	Duden	tu_17_xTok_000433
einer	ein	ART	Duden	tu_17_xTok_000435
anderen	andere	ADJA	Duden	tu_17_xTok_000437
allda	allda	ADV	Duden	tu_17_xTok_000439
mit=arrestirten	mitarrestieren	ADJA	oov	tu_17_xTok_000441
Weibs=Persohn	Weibsperson	NN	Duden	tu_17_xTok_000445
aus	aus	APPR	Duden	tu_17_xTok_000447
einer	ein	ART	Duden	tu_17_xTok_000449
gegen	gegen	APPR	Duden	tu_17_xTok_000452
selbe	selbe	PDS	Duden	tu_17_xTok_000454
<g/>
/
gantz	ganz	ADV	Duden	tu_17_xTok_000458
gering=fügiger	geringfügig	ADJA	Duden	tu_17_xTok_000460
Ursach	Ursache	NN	Duden	tu_17_xTok_000462
halber	halber	APPO	Duden	tu_17_xTok_000464
gefasten	fassen	ADJA	Duden	tu_17_xTok_000466
widrigen	widrig	ADJA	Duden	tu_17_xTok_000469
Neigung	Neigung	NN	Duden	tu_17_xTok_000471
erstlichen	erstlich	ADV	Duden	tu_17_xTok_000473
mit	mit	APPR	Duden	tu_17_xTok_000475
einen	ein	ART	Duden	tu_17_xTok_000477
zu	zu	APPR	Duden	tu_17_xTok_000479
Handen	Hand	NN	Duden	tu_17_xTok_000481
genommenen	nehmen	ADJA	Duden	tu_17_xTok_000483
ihnen	sie	PPER	Duden	tu_17_xTok_000485
arrestirten	Arrestierte	NN	oov	tu_17_xTok_000487
gemeinschafftlich=	gemeinschaftlich	ADJA	Duden	tu_17_xTok_000490
gewesten	sein	ADJA	Duden	tu_17_xTok_000490b
Wasser=Krug	Wasserkrug	NN	Duden	tu_17_xTok_000492
<g/>
;
andertens	andertens	ADV	oov	tu_17_xTok_000495
dergestalten	dergestalt	ADV	Duden	tu_17_xTok_000497
gewaltsame	gewaltsam	ADJA	Duden	tu_17_xTok_000499
Streich	Streich	NN	Duden	tu_17_xTok_000501
zu	zu	APPR	Duden	tu_17_xTok_000503
dem	d	ART	Duden	tu_17_xTok_000505
lincken	linke	ADJA	Duden	tu_17_xTok_000507
Schlaff	Schlaf	NN	Duden	tu_17_xTok_000509
beygebracht	beibringen	VVPP	Duden	tu_17_xTok_000511
<g/>
/
daß	dass	KOUS	Duden	tu_17_xTok_000515
solcher	solch	PIAT	Duden	tu_17_xTok_000517
Krug	Krug	NN	Duden	tu_17_xTok_000519
auf	auf	APPR	Duden	tu_17_xTok_000521
den	d	ART	Duden	tu_17_xTok_000523
anderten	anderte	ADJA	DWB	tu_17_xTok_000525
Streich	Streich	NN	Duden	tu_17_xTok_000527
in	in	APPR	Duden	tu_17_xTok_000529
viele	viel	PIAT	Duden	tu_17_xTok_000531
Trümmer	Trümmer	NN	Duden	tu_17_xTok_000533
zersprungen	zerspringen	VVPP	Duden	tu_17_xTok_000535
<g/>
/
sodann	sodann	ADV	Duden	tu_17_xTok_000539
ein	ein	ART	Duden	tu_17_xTok_000542
eigenes	eigen	ADJA	Duden	tu_17_xTok_000544
Fleisses	Fleiß	NN	Duden	tu_17_xTok_000546
bey	bei	APPR	Duden	tu_17_xTok_000548
sich	sich	PRF	Duden	tu_17_xTok_000550
getragenes	tragen	ADJA	Duden	tu_17_xTok_000552
SpinnradStrickel	Spinnradstrick	NN	oov	tu_17_xTok_000554
ihr	sie	PPER	Duden	tu_17_xTok_000558
