<doc id="fb_17350114_AndreN" delinquent_sexes="male" title="Todesurteil Andre N." attrs="word lemma pos vocab id">
<lg type="poem">
<head>
Der	d	ART	Duden	tu_3_xTok_000443
Jnnhalt	Inhalt	NN	Duden	tu_3_xTok_000446
des	d	ART	Duden	tu_3_xTok_000449
Verbrechen	Verbrechen	NN	Duden	tu_3_xTok_000451
ist	sein	VAFIN	Duden	tu_3_xTok_000454
in	in	APPR	Duden	tu_3_xTok_000456
Nachfolgenden	nachfolgend	ADJ-NN	Duden	tu_3_xTok_000457
zu	zu	PTKZU	Duden	tu_3_xTok_000459
vernehmen	vernehmen	VVINF	Duden	tu_3_xTok_000461
<g/>
.
</head>
<lg type="stanza">
<head>
1.	1	ADV		tu_3_xTok_000463
</head>
<l id="fb_17350114_AndreN_l_0001">
O	oh	ITJ	Duden	tu_3_xTok_000464
Abschieds=Tag	Abschiedstag	NN	DWB	tu_3_xTok_000466
<g/>
!
O	oh	ITJ	Duden	tu_3_xTok_000469
strenger	streng	ADJA	Duden	tu_3_xTok_000471
Tag	Tag	NN	Duden	tu_3_xTok_000473
<g/>
!
bist	sein	VAFIN	Duden	tu_3_xTok_000476
du	du	PPER	Duden	tu_3_xTok_000478
nunmehr	nunmehr	ADV	Duden	tu_3_xTok_000480
vorhanden	vorhanden	ADJD	Duden	tu_3_xTok_000482
<g/>
/
</l>
<l id="fb_17350114_AndreN_l_0002">
Der	d	PRELS	Duden	tu_3_xTok_000485
mich	ich	PPER	Duden	tu_3_xTok_000487
erlöset	erlösen	VVFIN	Duden	tu_3_xTok_000489
meiner	mein	PPOSAT	Duden	tu_3_xTok_000491
Plag	Plage	NN	Duden	tu_3_xTok_000493
<g/>
/
aus	aus	APPR	Duden	tu_3_xTok_000497
schwären	schwer	ADJA	Duden	tu_3_xTok_000499
Ketten	Kette	NN	Duden	tu_3_xTok_000501
und	und	KON	Duden	tu_3_xTok_000503
Banden	Band	NN	Duden	tu_3_xTok_000505
<g/>
/
</l>
<l id="fb_17350114_AndreN_l_0003">
O	oh	ITJ	Duden	tu_3_xTok_000508
Tag	Tag	NN	Duden	tu_3_xTok_000510
der	d	PRELS	Duden	tu_3_xTok_000512
mir	ich	PPER	Duden	tu_3_xTok_000514
zu	zu	APPR	Duden	tu_3_xTok_000516
Leyd	Leid	NN	Duden	tu_3_xTok_000518
und	und	KON	Duden	tu_3_xTok_000520
Freud	Freude	NN	Duden	tu_3_xTok_000522
anheut	anheute	ADV	DWB	tu_3_xTok_000524
ist	sein	VAFIN	Duden	tu_3_xTok_000526
aufgegangen	aufgehen	VVPP	Duden	tu_3_xTok_000528
<g/>
/
</l>
<l id="fb_17350114_AndreN_l_0004">
Darum	darum	PAV	Duden	tu_3_xTok_000531
will	wollen	VMFIN	Duden	tu_3_xTok_000533
ich	ich	PPER	Duden	tu_3_xTok_000535
heut	heute	ADV	Duden	tu_3_xTok_000537
seyn	sein	VAINF	Duden	tu_3_xTok_000539
bereit	bereit	ADJD	Duden	tu_3_xTok_000541
