<doc id="fb_17240808_FrantzCasparScheff" delinquent_sexes="male" title="Degradations-Ruf Frantz Caspar Scheffner" attrs="word lemma pos vocab id">
<p id="fb_17240808_FrantzCasparScheff_p_0001">
NAchdeme	nachdem	KOUS	Duden	tu_2_xTok_000157
der	d	ART	Duden	tu_2_xTok_000160
Frantz	Franz	NE	Duden	tu_2_xTok_000162
Caspar	Caspar	NE	oov	tu_2_xTok_000164
Scheffner	Scheffner	NE	oov	tu_2_xTok_000166
<g/>
/
gewestes	gewesen	ADJA	Duden	tu_2_xTok_000170
Mit=Glied	Mitglied	NN	Duden	tu_2_xTok_000172
des	d	ART	Duden	tu_2_xTok_000174
allhiesigen	allhiesig	ADJA	DWB	tu_2_xTok_000176
Jnneren	innere	ADJA	Duden	tu_2_xTok_000178
Stadt=Rahts	Stadtrat	NN	Duden	tu_2_xTok_000180
<g/>
/
und	und	KON	Duden	tu_2_xTok_000184
letzthin	letzthin	ADV	Duden	tu_2_xTok_000186
auf	auf	APPR	Duden	tu_2_xTok_000188
das	d	ART	Duden	tu_2_xTok_000190
Kaiserl.	kaiserlich	ADJA	Duden	tu_2_xTok_000192
Stadt=	Stadtgericht	TRUNC	Duden	tu_2_xTok_000196
und	und	KON	Duden	tu_2_xTok_000198
Land=Gericht	Landgericht	NN	Duden	tu_2_xTok_000200
gewechselter	wechseln	ADJA	Duden	tu_2_xTok_000203
Senior	Senior	NN	Duden	tu_2_xTok_000205
<g/>
,
im	im	APPRART	Duden	tu_2_xTok_000208
Monat	Monat	NN	Duden	tu_2_xTok_000210
Septembris	September	NN	Duden	tu_2_xTok_000213
des	d	ART	Duden	tu_2_xTok_000215
1722.ten	1722	ADJA		tu_2_xTok_000216
Jahrs	Jahr	NN	Duden	tu_2_xTok_000221
mittelst	mittelst	APPR	Duden	tu_2_xTok_000225
genommener	nehmen	ADJA	Duden	tu_2_xTok_000227
Post	Post	NN	Duden	tu_2_xTok_000229
unter	unter	APPR	Duden	tu_2_xTok_000233
falsch	falsch	ADJD	Duden	tu_2_xTok_000235
vorgegebenen	vorgeben	ADJA	Duden	tu_2_xTok_000237
Namen	Name	NN	Duden	tu_2_xTok_000240
von	von	APPR	Duden	tu_2_xTok_000245
hier	hier	ADV	Duden	tu_2_xTok_000247
heimlich	heimlich	ADJD	Duden	tu_2_xTok_000249
nacher	nacher	APPR	DWB	tu_2_xTok_000251
Venedig	Venedig	NE::top	Duden	tu_2_xTok_000253
entwichen	entweichen	VVPP	Duden	tu_2_xTok_000255
<g/>
/
ist	sein	VAFIN	Duden	tu_2_xTok_000259
derselbe	derselbe	PDS	Duden	tu_2_xTok_000260
in	in	APPR	Duden	tu_2_xTok_000262
vielfältigen	vielfältig	ADJA	Duden	tu_2_xTok_000264
schweren	schwer	ADJA	Duden	tu_2_xTok_000267
Verbrechen	Verbrechen	NN	Duden	tu_2_xTok_000269
<g/>
/
insonderheit	insonderheit	ADV	DWB	tu_2_xTok_000273
zerschiedenen	zerschieden	ADJA	DWB	tu_2_xTok_000275
Betriegereyen	Betrügerei	NN	Duden	tu_2_xTok_000278
<g/>
/
und	und	KON	Duden	tu_2_xTok_000283
in	in	APPR	Duden	tu_2_xTok_000285
mißbrauchtem	missbrauchen	ADJA	Duden	tu_2_xTok_000287
Richter=Amt	Richteramt	NN	Duden	tu_2_xTok_000289
gegebener	geben	ADJA	Duden	tu_2_xTok_000291
Aergernuß	Ärgernis	NN	Duden	tu_2_xTok_000295
denunciret	denunzieren	VVPP	Duden	tu_2_xTok_000297
<g/>
/
und	und	KON	Duden	tu_2_xTok_000304
dahero	dahero	PAV	DWB	tu_2_xTok_000306
auf	auf	APPR	Duden	tu_2_xTok_000308
Verordnung	Verordnung	NN	Duden	tu_2_xTok_000310
einer	ein	ART	Duden	tu_2_xTok_000312
hohen	hoch	ADJA	Duden	tu_2_xTok_000314
Landsfürstl.	landesfürstlich	ADJA	DWB	tu_2_xTok_000317
Obrigkeit	Obrigkeit	NN	Duden	tu_2_xTok_000321
zu	zu	APPR	Duden	tu_2_xTok_000323
seiner	sein	PPOSAT	Duden	tu_2_xTok_000325
Verantwortung	Verantwortung	NN	Duden	tu_2_xTok_000327
Ordnungs=mässig	ordnungsmäßig	ADJD	Duden	tu_2_xTok_000329
vorgeladen	vorladen	VVPP	Duden	tu_2_xTok_000334
<g/>
/
und	und	KON	Duden	tu_2_xTok_000338
über	über	APPR	Duden	tu_2_xTok_000340
sein	sein	PPOSAT	Duden	tu_2_xTok_000342
ungehorsames	ungehorsam	ADJA	Duden	tu_2_xTok_000344
Ausbleiben	ausbleiben	VVINF-NN	Duden	tu_2_xTok_000346
wider	wider	APPR	Duden	tu_2_xTok_000349
ihn	er	PPER	Duden	tu_2_xTok_000351
ein	ein	ART	Duden	tu_2_xTok_000353
ordentlicher	ordentlich	ADJA	Duden	tu_2_xTok_000355
criminal-Process	Kriminalprozess	NN	Duden	tu_2_xTok_000357
in	in	FM	G-LDHW	tu_2_xTok_000360
contumaciam	contumacia	FM	G-LDHW	tu_2_xTok_000362
abgeführet	abführen	VVPP	DRW	tu_2_xTok_000365
worden	werden	VAPP	Duden	tu_2_xTok_000367
<g/>
/
und	und	KON	Duden	tu_2_xTok_000371
hat	haben	VAFIN	Duden	tu_2_xTok_000373
