<doc id="fb_17590322_MariaAnnaR" delinquent_sexes="female" title="Todesurteil Maria Anna R." attrs="word lemma pos vocab id">
<p id="fb_17590322_MariaAnnaR_p_0001">
ES	es	PPER	Duden	tu_71_xTok_000157
ist	sein	VAFIN	Duden	tu_71_xTok_000160
diese	diese	PDAT	Duden	tu_71_xTok_000162
Delinquentin	Delinquentin	NN	Duden	tu_71_xTok_000164
sowol	sowohl	KON	Duden	tu_71_xTok_000166
ihrer	ihr	PPOSAT	Duden	tu_71_xTok_000168
eigenen	eigen	ADJA	Duden	tu_71_xTok_000170
Geständnuß	Geständnis	NN	Duden	tu_71_xTok_000172
<g/>
,
als	als	KON	Duden	tu_71_xTok_000175
auch	auch	ADV	Duden	tu_71_xTok_000176
denen	d	ART	Duden	tu_71_xTok_000178
darüber	darüber	PAV	Duden	tu_71_xTok_000180
rechtlich	rechtlich	ADJD	Duden	tu_71_xTok_000182
eingeholten	einholen	ADJA	Duden	tu_71_xTok_000184
Beglaubigungs=nachrichten	Beglaubigungsnachricht	NN	oov	tu_71_xTok_000186
gemäß	gemäß	APPO	Duden	tu_71_xTok_000189
allschon	allschon	ADV	oov	tu_71_xTok_000191
in	in	APPR	Duden	tu_71_xTok_000193
ihrer	ihr	PPOSAT	Duden	tu_71_xTok_000195
ersten	erste	ADJA	Duden	tu_71_xTok_000197
Jugend	Jugend	NN	Duden	tu_71_xTok_000199
<g/>
,
theils	teils	ADV	Duden	tu_71_xTok_000202
aus	aus	APPR	Duden	tu_71_xTok_000204
Mangel	Mangel	NN	Duden	tu_71_xTok_000206
behöriger	behörig	ADJA	DWB	tu_71_xTok_000207
Auferziehung	Auferziehung	NN	DWB	tu_71_xTok_000209
<g/>
,
theils	teils	ADV	Duden	tu_71_xTok_000212
durch	durch	APPR	Duden	tu_71_xTok_000214
Verführung	Verführung	NN	Duden	tu_71_xTok_000216
<g/>
,
in	in	APPR	Duden	tu_71_xTok_000219
ein	ein	ART	Duden	tu_71_xTok_000221
üppiges	üppig	ADJA	Duden	tu_71_xTok_000223
<g/>
,
und	und	KON	Duden	tu_71_xTok_000226
schändliches	schändlich	ADJA	Duden	tu_71_xTok_000227
Leben	Leben	NN	Duden	tu_71_xTok_000229
verfallen	verfallen	VVPP	Duden	tu_71_xTok_000231
<g/>
,
da	da	KOUS	Duden	tu_71_xTok_000234
sie	sie	PPER	Duden	tu_71_xTok_000236
zwar	zwar	ADV	Duden	tu_71_xTok_000238
anfänglich	anfänglich	ADJD	Duden	tu_71_xTok_000240
einige	einige	PIAT	Duden	tu_71_xTok_000242
Jahre	Jahr	NN	Duden	tu_71_xTok_000244
hindurch	hindurch	ADV	Duden	tu_71_xTok_000246
in	in	APPR	Duden	tu_71_xTok_000249
veschiedenen	verschieden	ADJA	Duden	tu_71_xTok_000251
Diensten	Dienst	NN	Duden	tu_71_xTok_000253
gestanden	stehen	VVPP	Duden	tu_71_xTok_000255
<g/>
,
jedoch	jedoch	KON	Duden	tu_71_xTok_000258
der	d	ART	Duden	tu_71_xTok_000260
an	an	APPR	Duden	tu_71_xTok_000262
sich	sich	PRF	Duden	tu_71_xTok_000264
zu	zu	PTKZU	Duden	tu_71_xTok_000266
verspühren	verspüren	ADJA	Duden	tu_71_xTok_000268
gegebenen	geben	ADJA	Duden	tu_71_xTok_000271
ganz	ganz	ADV	Duden	tu_71_xTok_000273
sonderbaren	sonderbar	ADJA	Duden	tu_71_xTok_000275
Neigung	Neigung	NN	Duden	tu_71_xTok_000277
zur	zur	APPRART	Duden	tu_71_xTok_000279
Wollust	Wollust	NN	Duden	tu_71_xTok_000281
<g/>
,
Frechheit	Frechheit	NN	Duden	tu_71_xTok_000284
<g/>
,
und	und	KON	Duden	tu_71_xTok_000287
boshaften	boshaft	ADJA	Duden	tu_71_xTok_000289
Arglistigkeit	Arglistigkeit	NN	Duden	tu_71_xTok_000292
<g/>
,
folgbar	folgbar	ADV	DWB	tu_71_xTok_000295
in	in	APPR	Duden	tu_71_xTok_000297
allweeg	allweg	ADV	Duden	tu_71_xTok_000299
an	an	APPR	Duden	tu_71_xTok_000301
ihr	sie	PPER	Duden	tu_71_xTok_000303
sich	sich	PRF	Duden	tu_71_xTok_000305
geäusserten	äußern	ADJA	Duden	tu_71_xTok_000307
üblen	übel	ADJA	Duden	tu_71_xTok_000309
Aufführung	Aufführung	NN	Duden	tu_71_xTok_000311
halber	halber	APPO	Duden	tu_71_xTok_000314
nirgends	nirgends	ADV	Duden	tu_71_xTok_000316
lang	lang	ADJD	Duden	tu_71_xTok_000318
behalten	behalten	VVPP	Duden	tu_71_xTok_000320
worden	werden	VAPP	Duden	tu_71_xTok_000322
<g/>
;
welchemnach	welchemnach	ADV	oov	tu_71_xTok_000325
dann	dann	ADV	Duden	tu_71_xTok_000327
dieselbe	dieselbe	PDS	Duden	tu_71_xTok_000329
sogleich	sogleich	ADV	Duden	tu_71_xTok_000332
auf	auf	APPR	Duden	tu_71_xTok_000334
den	d	ART	Duden	tu_71_xTok_000336
Müßig=gang	Müßiggang	NN	Duden	tu_71_xTok_000338
sich	sich	PRF	Duden	tu_71_xTok_000340
verleget	verlegen	VVPP	DWB	tu_71_xTok_000342
<g/>
,
und	und	KON	Duden	tu_71_xTok_000345
insonderheit	insonderheit	ADV	DWB	tu_71_xTok_000347
denen	d	ART	Duden	tu_71_xTok_000349
gemeinen	gemein	ADJA	Duden	tu_71_xTok_000350
Soldaten	Soldat	NN	Duden	tu_71_xTok_000352
nicht	nicht	PTKNEG	Duden	tu_71_xTok_000354
nur	nur	ADV	Duden	tu_71_xTok_000356
auf	auf	APPR	Duden	tu_71_xTok_000358
denen	d	ART	Duden	tu_71_xTok_000360
