<doc id="fb_17800427_BE_JN" delinquent_sexes="male" title="Todesurteil B. E., J. N." attrs="word lemma pos vocab id">
<p id="fb_17800427_BE_JN_p_0001">
Es	es	PPER	Duden	tu_117_xTok_000054
hat	haben	VAFIN	Duden	tu_117_xTok_000057
der	d	ART	Duden	tu_117_xTok_000059
dem	d	ART	Duden	tu_117_xTok_000061
Landgericht	Landgericht	NN	Duden	tu_117_xTok_000063
ob	ob	APPR	Duden	tu_117_xTok_000065
Wildon	Wildon	NE::top	oov	tu_117_xTok_000067
den	d	ART	Duden	tu_117_xTok_000069
24.	24	ADJA		tu_117_xTok_000071
Nov.	November	NN	Duden	tu_117_xTok_000073
1779.	1779	CARD		tu_117_xTok_000076
von	von	APPR	Duden	tu_117_xTok_000078
der	d	ART	Duden	tu_117_xTok_000079
Herrschaft	Herrschaft	NN	Duden	tu_117_xTok_000081
Hornegg	Hornegg	NE::top	oov	tu_117_xTok_000083
gefänglich	gefänglich	ADJD	Duden	tu_117_xTok_000085
übergeben	übergeben	VVINF	Duden	tu_117_xTok_000087
wordene	sein	ADJA	Duden	tu_117_xTok_000089
<persName id="be117">
B.	B.	NE	oov	tu_117_xTok_000091
E.	E.	NE	oov	tu_117_xTok_000094
vulgo	vulgo	ADV	Duden	tu_117_xTok_000096
Leyrerbärtel	Leyrerbärtel	NE	oov	tu_117_xTok_000098
</persName>
<g/>
,
27.	27	CARD		tu_117_xTok_000101
Jahr	Jahr	NN	Duden	tu_117_xTok_000103
alt	alt	ADJD	Duden	tu_117_xTok_000105
<g/>
,
katholisch	katholisch	ADJD	Duden	tu_117_xTok_000108
<g/>
,
ledig	ledig	ADJD	Duden	tu_117_xTok_000111
<g/>
,
in	in	APPR	Duden	tu_117_xTok_000114
<placeName id="pn117">
Hungarn	Ungarn	NE::top	Duden	tu_117_xTok_000116
zu	zu	APPR	Duden	tu_117_xTok_000119
Kaltenbrunn	Kaltenbrunn	NE::top	oov	tu_117_xTok_000121
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_117_xTok_000123
in	in	APPR	Duden	tu_117_xTok_000125
