<doc id="fb_17730826_JohannD" delinquent_sexes="male" title="Todesurteil Johann D." attrs="word lemma pos vocab id">
<head>
Jnhalt	Inhalt	NN	Duden	tu_105_xTok_000145
seines	sein	PPOSAT	Duden	tu_105_xTok_000147
Verbrechens	Verbrechen	NN	Duden	tu_105_xTok_000149
<g/>
.
</head>
<p id="fb_17730826_JohannD_p_0001">
Obwohlen	obwohl	KOUS	Duden	tu_105_xTok_000151
dieser	diese	PDAT	Duden	tu_105_xTok_000154
Johann	Johann	NE	Duden	tu_105_xTok_000156
D.	D.	NE	oov	tu_105_xTok_000158
in	in	APPR	Duden	tu_105_xTok_000161
gedacht=	gedacht	ADJA	DWB	tu_105_xTok_000163
seinem	sein	PPOSAT	Duden	tu_105_xTok_000165
Geburtsorte	Geburtsort	NN	Duden	tu_105_xTok_000167
die	d	ART	Duden	tu_105_xTok_000168
Leinweberprofeßion	Leinweberprofession	NN	oov	tu_105_xTok_000170
ordentlich	ordentlich	ADJD	Duden	tu_105_xTok_000172
erlernet	erlernen	VVPP	Duden	tu_105_xTok_000174
hat	haben	VAFIN	Duden	tu_105_xTok_000176
<g/>
,
so	so	ADV	Duden	tu_105_xTok_000179
ist	sein	VAFIN	Duden	tu_105_xTok_000181
er	er	PPER	Duden	tu_105_xTok_000183
jedoch	jedoch	ADV	Duden	tu_105_xTok_000184
nach	nach	APPR	Duden	tu_105_xTok_000186
seiner	sein	PPOSAT	Duden	tu_105_xTok_000188
Freysprechung	Freisprechung	NN	Duden	tu_105_xTok_000190
derselben	dieselbe	PDS	Duden	tu_105_xTok_000194
nur	nur	ADV	Duden	tu_105_xTok_000196
durch	durch	APPR	Duden	tu_105_xTok_000198
eine	ein	ART	Duden	tu_105_xTok_000200
kurze	kurz	ADJA	Duden	tu_105_xTok_000201
Zeit	Zeit	NN	Duden	tu_105_xTok_000203
nachgegangen	nachgehen	VVPP	Duden	tu_105_xTok_000205
<g/>
,
indem	indem	KOUS	Duden	tu_105_xTok_000208
