<doc id="fb_17500515_LorentzF" delinquent_sexes="male" title="Todesurteil Lorentz F." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_48_xTok_000136
des	d	ART	Duden	tu_48_xTok_000138
Verbrechens	Verbrechen	NN	Duden	tu_48_xTok_000140
dises	diese	PDAT	Duden	tu_48_xTok_000142
Delinquenten	Delinquent	NN	Duden	tu_48_xTok_000143
<g/>
.
</head>
<p id="fb_17500515_LorentzF_p_0001">
UM	um	APPR	Duden	tu_48_xTok_000146
willen	willen	APZR	Duden	tu_48_xTok_000149
derselbe	derselbe	PDS	Duden	tu_48_xTok_000151
nicht	nicht	PTKNEG	Duden	tu_48_xTok_000153
allein	allein	ADV	Duden	tu_48_xTok_000155
Anno	annus	FM	G-LDHW	tu_48_xTok_000157
1748.	1748	CARD		tu_48_xTok_000159
<g/>
&
1749.	1749	CARD		tu_48_xTok_000162
wegen	wegen	APPR	Duden	tu_48_xTok_000164
seinen	sein	PPOSAT	Duden	tu_48_xTok_000166
Eltern	Eltern	NN	Duden	tu_48_xTok_000168
pr.	per	APPR	Duden	tu_48_xTok_000170
30.	30	CARD		tu_48_xTok_000173
fl.	Flore	NN	DWB	tu_48_xTok_000175
werths	wert	ADJD	Duden	tu_48_xTok_000177
entragenen	enttragen	ADJA	Duden	tu_48_xTok_000179
Sachen	Sache	NN	Duden	tu_48_xTok_000181
<g/>
,
und	und	KON	Duden	tu_48_xTok_000184
auf	auf	APPR	Duden	tu_48_xTok_000186
dererselben	derselbe	PDAT	Duden	tu_48_xTok_000188
Namen	Name	NN	Duden	tu_48_xTok_000189
fälschlich	fälschlich	ADJD	Duden	tu_48_xTok_000191
zu	zu	PTKZU	Duden	tu_48_xTok_000193
leyhen	leihen	VVINF	Duden	tu_48_xTok_000195
genom̅enen	nehmen	ADJA	Duden	tu_48_xTok_000197
Geldes	Geld	NN	Duden	tu_48_xTok_000199
<g/>
,
wie	wie	KOKOM	Duden	tu_48_xTok_000201
auch	auch	ADV	Duden	tu_48_xTok_000203
an	an	APPR	Duden	tu_48_xTok_000205
einem	ein	ART	Duden	tu_48_xTok_000207
anderen	andere	ADJA	Duden	tu_48_xTok_000209
Orth	Ort	NN	Duden	tu_48_xTok_000211
entfrembdeten	entfremden	ADJA	Duden	tu_48_xTok_000213
3.	3	CARD		tu_48_xTok_000216
Tücheln	Tüchel	NN	DWB	tu_48_xTok_000218
<g/>
,
bey	bei	APPR	Duden	tu_48_xTok_000221
dem	d	ART	Duden	tu_48_xTok_000223
Hof=Profosen	Hofprofos	NN	oov	tu_48_xTok_000225
in	in	APPR	Duden	tu_48_xTok_000227
zweymalen	zweimal	ADV	Duden	tu_48_xTok_000229
26.	26	CARD		tu_48_xTok_000232
Wochen	Woche	NN	Duden	tu_48_xTok_000235
lang	lang	ADJD	Duden	tu_48_xTok_000237
mit	mit	APPR	Duden	tu_48_xTok_000239
Arrest	Arrest	NN	Duden	tu_48_xTok_000241
<g/>
,
und	und	KON	Duden	tu_48_xTok_000244
dreymahlig	dreimalig	ADJD	Duden	tu_48_xTok_000246
wohl=gemessenen	wohlgemessen	ADJA	DWB	tu_48_xTok_000249
Cärbatsch=Streichen	Karbatschenstreich	NN	DWB	tu_48_xTok_000251
<g/>
,
dann	dann	ADV	Duden	tu_48_xTok_000253
bey	bei	APPR	Duden	tu_48_xTok_000255
dem	d	ART	Duden	tu_48_xTok_000257
Kays.	kaiserlich	ADJA	Duden	tu_48_xTok_000259
Königl.	königlich	ADJA	Duden	tu_48_xTok_000262
Stadt=	Stadtgericht	TRUNC	Duden	tu_48_xTok_000265
und	und	KON	Duden	tu_48_xTok_000267
LandGericht	Landgericht	NN	Duden	tu_48_xTok_000269
allhier	allhier	ADV	Duden	tu_48_xTok_000272
wegen	wegen	APPR	Duden	tu_48_xTok_000274
wider	wider	APPR	Duden	tu_48_xTok_000276
selben	selbe	PDS	Duden	tu_48_xTok_000278
vorgekommener	vorkommen	ADJA	Duden	tu_48_xTok_000280
Schnüpferey	Schnüpferei	NN	oov	tu_48_xTok_000283
<g/>
,
und	und	KON	Duden	tu_48_xTok_000286
mit	mit	APPR	Duden	tu_48_xTok_000288
2.	2	CARD		tu_48_xTok_000290
andern	andere	ADJA	Duden	tu_48_xTok_000292
Burschen	Bursche	ADJA	Duden	tu_48_xTok_000294
Bein=züchtigter massen	beinzüchtigermaßen	ADV		tu_48_xTok_000297
unternehmen	unternehmen	VVINF	Duden	tu_48_xTok_000301
wollender	wollen	ADJA	Duden	tu_48_xTok_000302
Abschneidung	Abschneidung	NN	DRW	tu_48_xTok_000304
einer	ein	ART	Duden	tu_48_xTok_000306
Reyß=Truhen	Reisetruhe	NN	DWB	tu_48_xTok_000308
<g/>
,
das	d	ART	Duden	tu_48_xTok_000310
erstere	erstere	ADJA	Duden	tu_48_xTok_000312
mahl	Mal	NN	Duden	tu_48_xTok_000314
mit	mit	APPR	Duden	tu_48_xTok_000316
15.	15	CARD		tu_48_xTok_000318
Cärbatsch	Karbatsche	NN	Duden	tu_48_xTok_000320
