<doc id="fb_17810525_BartholomaeeN" delinquent_sexes="male" title="Todesurteil Bartholomäe N." attrs="word lemma pos vocab id">
<head>
Urgicht	Urgicht	NN	DWB	tu_120_xTok_000193
<g/>
.
</head>
<p id="fb_17810525_BartholomaeeN_p_0001">
Gegenwärtig	gegenwärtig	ADJD	Duden	tu_120_xTok_000197
vor	vor	APPR	Duden	tu_120_xTok_000200
dem	d	ART	Duden	tu_120_xTok_000202
Criminalgericht	Kriminalgericht	NN	Duden	tu_120_xTok_000204
öffentlich	öffentlich	ADJD	Duden	tu_120_xTok_000206
vorgestellte	vorstellen	ADJA	Duden	tu_120_xTok_000208
Uebelthäter	Übeltäter	NN	Duden	tu_120_xTok_000210
hat	haben	VAFIN	Duden	tu_120_xTok_000212
in	in	APPR	Duden	tu_120_xTok_000213
seinen	sein	PPOSAT	Duden	tu_120_xTok_000215
mit	mit	APPR	Duden	tu_120_xTok_000217
ihm	er	PPER	Duden	tu_120_xTok_000219
gütlich	gütlich	ADJD	Duden	tu_120_xTok_000221
vorgenommenen	vornehmen	ADJA	Duden	tu_120_xTok_000223
Verhören	Verhör	NN	Duden	tu_120_xTok_000225
quoad	quoad	FM	G-LDHW	tu_120_xTok_000227
generalia	generalis	FM	G-LDHW	tu_120_xTok_000229
ausgesagt	aussagen	VVPP	Duden	tu_120_xTok_000230
<g/>
:
</p>
<p id="fb_17810525_BartholomaeeN_p_0002">
Erstens	erstens	ADV	Duden	tu_120_xTok_000232
daß	dass	KOUS	Duden	tu_120_xTok_000234
er	er	PPER	Duden	tu_120_xTok_000236
Bartholomäe	Bartholomä	NE	oov	tu_120_xTok_000238
N.	N.	NE	oov	tu_120_xTok_000240
vulgo	vulgo	ADV	Duden	tu_120_xTok_000243
Tyroller	Tiroler	ADJA	Duden	tu_120_xTok_000245
Barthl	Barthl	NE	oov	tu_120_xTok_000247
heisse	heißen	VVFIN	Duden	tu_120_xTok_000249
<g/>
,
24				tu_120_xTok_000252
jährigen			oov	tu_120_xTok_000254
Alters	Alter	NN	Duden	tu_120_xTok_000257
<g/>
,
aus	aus	APPR	Duden	tu_120_xTok_000260
<placeName id="pn120">
Tyrol	Tirol	NE::top	Duden	tu_120_xTok_000262
an	an	APPR	Duden	tu_120_xTok_000264
Bremer	Brenner	NE::top	Duden	tu_120_xTok_000266
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_120_xTok_000268
<g/>
.
</p>
<p id="fb_17810525_BartholomaeeN_p_0003">
Zweytens	zweitens	ADV	Duden	tu_120_xTok_000270
bekannte	bekennen	VVFIN	Duden	tu_120_xTok_000272
Jnquisit	Inquisit	NN	Duden	tu_120_xTok_000274
<g/>
,
daß	dass	KOUS	Duden	tu_120_xTok_000277
er	er	PPER	Duden	tu_120_xTok_000279
katholischer	katholisch	ADJA	Duden	tu_120_xTok_000281
Religion	Religion	NN	Duden	tu_120_xTok_000283
<g/>
;
ledigen	ledig	ADJA	Duden	tu_120_xTok_000286
Standes	Stand	NN	Duden	tu_120_xTok_000288
<g/>
,
und	und	KON	Duden	tu_120_xTok_000292
keiner	kein	PIAT	Duden	tu_120_xTok_000294
Profession	Profession	NN	Duden	tu_120_xTok_000296
kündig	kundig	ADJD	Duden	tu_120_xTok_000298
seye	sein	VAFIN	Duden	tu_120_xTok_000300
<g/>
,
sondern	sondern	KON	Duden	tu_120_xTok_000303
sich	sich	PRF	Duden	tu_120_xTok_000305
mit	mit	APPR	Duden	tu_120_xTok_000307
Obst=	Obsthandel	TRUNC	Duden	tu_120_xTok_000309
und	und	KON	Duden	tu_120_xTok_000311
LimoniHandel	Limonihandel	NN	oov	tu_120_xTok_000313
fortgebracht	fortbringen	VVPP	DWB	tu_120_xTok_000316
habe	haben	VAFIN	Duden	tu_120_xTok_000318
<g/>
.
Jn	in	APPR	Duden	tu_120_xTok_000321
der	d	ART	Duden	tu_120_xTok_000323
Hauptsache	Hauptsache	NN	Duden	tu_120_xTok_000325
aber	aber	ADV	Duden	tu_120_xTok_000327
<g/>
,
und	und	KON	Duden	tu_120_xTok_000330
</p>
