<doc id="fb_17710309_TheresiaN" delinquent_sexes="female" title="Todesurteil Theresia N." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_94_xTok_000137
ihres	ihr	PPOSAT	Duden	tu_94_xTok_000139
Verbrechens	Verbrechen	NN	Duden	tu_94_xTok_000141
<g/>
.
</head>
<p id="fb_17710309_TheresiaN_p_0001">
Nachdem	nachdem	KOUS	Duden	tu_94_xTok_000143
diese	diese	PDAT	Duden	tu_94_xTok_000146
Delinquentin	Delinquentin	NN	Duden	tu_94_xTok_000148
<g/>
,
als	als	KOKOM	Duden	tu_94_xTok_000151
ein	ein	ART	Duden	tu_94_xTok_000153
armer	arm	ADJA	Duden	tu_94_xTok_000155
Waise	Waise	NN	Duden	tu_94_xTok_000157
<g/>
,
auf	auf	APPR	Duden	tu_94_xTok_000160
Kösten	Kosten	NN	Duden	tu_94_xTok_000161
des	d	ART	Duden	tu_94_xTok_000163
allhiesigen	allhiesig	ADJA	DWB	tu_94_xTok_000165
Bürgerspitals	Bürgerspital	NN	oov	tu_94_xTok_000167
in	in	APPR	Duden	tu_94_xTok_000169
hiesiger	hiesig	ADJA	Duden	tu_94_xTok_000171
Gegend	Gegend	NN	Duden	tu_94_xTok_000173
auf	auf	APPR	Duden	tu_94_xTok_000174
dem	d	ART	Duden	tu_94_xTok_000176
Lande	Land	NN	Duden	tu_94_xTok_000178
erzogen	erziehen	VVPP	Duden	tu_94_xTok_000180
worden	werden	VAPP	Duden	tu_94_xTok_000182
<g/>
,
im	im	APPRART	Duden	tu_94_xTok_000185
vierzehenten	vierzehn	ADJA	Duden	tu_94_xTok_000187
Jahre	Jahr	NN	Duden	tu_94_xTok_000189
ihres	ihr	PPOSAT	Duden	tu_94_xTok_000190
Alters	Alter	NN	Duden	tu_94_xTok_000192
aber	aber	ADV	Duden	tu_94_xTok_000194
ihr	ihr	PPOSAT	Duden	tu_94_xTok_000196
Brodt	Brot	NN	Duden	tu_94_xTok_000198
durch	durch	APPR	Duden	tu_94_xTok_000200
das	d	ART	Duden	tu_94_xTok_000202
Dienen	dienen	VVINF-NN	Duden	tu_94_xTok_000204
selbst	selbst	ADV	Duden	tu_94_xTok_000206
zu	zu	PTKZU	Duden	tu_94_xTok_000208
suchen	suchen	VVINF	Duden	tu_94_xTok_000210
angefangen	anfangen	VVPP	Duden	tu_94_xTok_000211
<g/>
,
hat	haben	VAFIN	Duden	tu_94_xTok_000214
sie	sie	PPER	Duden	tu_94_xTok_000216
dann	dann	ADV	Duden	tu_94_xTok_000218
eben	eben	ADV	Duden	tu_94_xTok_000220
meistentheils	meistenteils	ADV	Duden	tu_94_xTok_000222
in	in	APPR	Duden	tu_94_xTok_000224
den	d	ART	Duden	tu_94_xTok_000226
hiesigen	hiesig	ADJA	Duden	tu_94_xTok_000228
Gegenden	Gegend	NN	Duden	tu_94_xTok_000230
auf	auf	APPR	Duden	tu_94_xTok_000233
dem	d	ART	Duden	tu_94_xTok_000235
Lande	Land	NN	Duden	tu_94_xTok_000237
<g/>
,
und	und	KON	Duden	tu_94_xTok_000240
zwar	zwar	ADV	Duden	tu_94_xTok_000242
letztlich	letztlich	ADV	Duden	tu_94_xTok_000244
zu	zu	APPR	Duden	tu_94_xTok_000246
Meidling	Meidling	NE::top	oov	tu_94_xTok_000248
bey	bei	APPR	Duden	tu_94_xTok_000250
einem	ein	ART	Duden	tu_94_xTok_000252
allda	allda	ADV	Duden	tu_94_xTok_000255
behausten	behaust	ADJA	Duden	tu_94_xTok_000257
Mitnachbar	Mitnachbar	NN	DWB	tu_94_xTok_000259
als	als	KOKOM	Duden	tu_94_xTok_000261
Viehe=	Viehmagd	TRUNC	DWB	tu_94_xTok_000263
und	und	KON	Duden	tu_94_xTok_000265
Milchmagd	Milchmagd	NN	DWB	tu_94_xTok_000267
gedienet	dienen	VVPP	Duden	tu_94_xTok_000269
<g/>
.
</p>
<p id="fb_17710309_TheresiaN_p_0002">
Gleichwie	gleichwie	KON	Duden	tu_94_xTok_000272
nun	nun	ADV	Duden	tu_94_xTok_000274
vermöge	vermöge	APPR	Duden	tu_94_xTok_000276
der	d	ART	Duden	tu_94_xTok_000278
mit	mit	APPR	Duden	tu_94_xTok_000280
ihr	sie	PPER	Duden	tu_94_xTok_000282
gerichtlich	gerichtlich	ADJD	Duden	tu_94_xTok_000284
vorgenommenen	vornehmen	ADJA	Duden	tu_94_xTok_000286
Untersuchung	Untersuchung	NN	Duden	tu_94_xTok_000289
wider	wider	APPR	Duden	tu_94_xTok_000291
sie	sie	PPER	Duden	tu_94_xTok_000293
theils	teils	ADV	Duden	tu_94_xTok_000295
selbst	selbst	ADV	Duden	tu_94_xTok_000297
geständiger	geständig	ADJD	Duden	tu_94_xTok_000299
<g/>
,
theils	teils	ADV	Duden	tu_94_xTok_000302
zugemutheter massen	zugemutetermaßen	ADV		tu_94_xTok_000304
vorgekommen	vorkommen	VVPP	Duden	tu_94_xTok_000309
<g/>
,
daß	dass	KOUS	Duden	tu_94_xTok_000312
sie	sie	PPER	Duden	tu_94_xTok_000314
ehedessen	ehedessen	ADV	Duden	tu_94_xTok_000316
schon	schon	ADV	Duden	tu_94_xTok_000318
in	in	APPR	Duden	tu_94_xTok_000320
einem	ein	PIS	Duden	tu_94_xTok_000322
und	und	KON	Duden	tu_94_xTok_000323
anderen	ander	PIS	Duden	tu_94_xTok_000325
ihrer	ihr	PPOSAT	Duden	tu_94_xTok_000327
vorigen	vorige	ADJA	Duden	tu_94_xTok_000329
Dienstorten	Dienstort	NN	Duden	tu_94_xTok_000331
einiger	einige	PIAT	Duden	tu_94_xTok_000333
Veruntreuungen	Veruntreuung	NN	Duden	tu_94_xTok_000335
sich	sich	PRF	Duden	tu_94_xTok_000336
angemasset	anmaßen	VVPP	Duden	tu_94_xTok_000338
habe	haben	VAFIN	Duden	tu_94_xTok_000340
<g/>
,
welche	welch	PRELS	Duden	tu_94_xTok_000343
jedoch	jedoch	ADV	Duden	tu_94_xTok_000345
nur	nur	ADV	Duden	tu_94_xTok_000347
in	in	APPR	Duden	tu_94_xTok_000349
Kleinigkeiten	Kleinigkeit	NN	Duden	tu_94_xTok_000351
bestanden	bestehen	VVPP	Duden	tu_94_xTok_000353
<g/>
,
und	und	KON	Duden	tu_94_xTok_000357
derer	d	PRELAT	Duden	tu_94_xTok_000359
Beträge	Betrag	NN	Duden	tu_94_xTok_000361
den	d	ART	Duden	tu_94_xTok_000363
rechtmäßigen	rechtmäßig	ADJA	Duden	tu_94_xTok_000365
Eigenthümern	Eigentümer	NN	Duden	tu_94_xTok_000367
jedesmal	jedesmal	ADV	DWB	tu_94_xTok_000369
wieder	wieder	ADV	Duden	tu_94_xTok_000372
zurückgekommen	zurückkommen	VVPP	Duden	tu_94_xTok_000374
sind	sein	VAFIN	Duden	tu_94_xTok_000376
<g/>
,
so	so	ADV	Duden	tu_94_xTok_000379
hat	haben	VAFIN	Duden	tu_94_xTok_000381
sich	sich	PRF	Duden	tu_94_xTok_000383
auch	auch	ADV	Duden	tu_94_xTok_000385
in	in	APPR	Duden	tu_94_xTok_000387
ihrem	ihr	PPOSAT	Duden	tu_94_xTok_000389
letztgesagten	letztgesagt	ADJA	oov	tu_94_xTok_000391
Dienstorte	Dienstort	NN	Duden	tu_94_xTok_000394
zu	zu	APPR	Duden	tu_94_xTok_000396
Meidling	Meidling	NE::top	oov	tu_94_xTok_000398
gefüget	fügen	VVPP	Duden	tu_94_xTok_000400
<g/>
,
daß	dass	KOUS	Duden	tu_94_xTok_000403
ihre	ihr	PPOSAT	Duden	tu_94_xTok_000405
Dienstfrau	Dienstfrau	NN	DWB	tu_94_xTok_000407
eine	ein	ART	Duden	tu_94_xTok_000408
dergleichen	dergleichen	PIAT	Duden	tu_94_xTok_000410
kleine	klein	ADJA	Duden	tu_94_xTok_000412
Veruntreuung	Veruntreuung	NN	Duden	tu_94_xTok_000414
von	von	APPR	Duden	tu_94_xTok_000416
ihr	sie	PPER	Duden	tu_94_xTok_000418
verspühret	verspüren	VVPP	Duden	tu_94_xTok_000420
<g/>
,
und	und	KON	Duden	tu_94_xTok_000423
dießhalben	dieshalb	PAV	DWB	tu_94_xTok_000424
nicht	nicht	PTKNEG	Duden	tu_94_xTok_000426
allein	allein	ADV	Duden	tu_94_xTok_000428
das	d	ART	Duden	tu_94_xTok_000430
gegen	gegen	APPR	Duden	tu_94_xTok_000432
sie	sie	PPER	Duden	tu_94_xTok_000434
Delinquentinn	Delinquentin	NN	Duden	tu_94_xTok_000436
vorhin	vorhin	ADV	Duden	tu_94_xTok_000438
gehabte	haben	ADJA	Duden	tu_94_xTok_000440
gute	gut	ADJA	Duden	tu_94_xTok_000443
Zutrauen	Zutrauen	NN	Duden	tu_94_xTok_000445
verlohren	verlieren	VVPP	Duden	tu_94_xTok_000447
<g/>
,
sondern	sondern	KON	Duden	tu_94_xTok_000450
ihr	sie	PPER	Duden	tu_94_xTok_000452
auch	auch	ADV	Duden	tu_94_xTok_000454
den	d	ART	Duden	tu_94_xTok_000456
Dienst	Dienst	NN	Duden	tu_94_xTok_000458
aufgesaget	aufsagen	VVPP	Duden	tu_94_xTok_000459
hat	haben	VAFIN	Duden	tu_94_xTok_000461
<g/>
.
</p>
<p id="fb_17710309_TheresiaN_p_0003">
Durch	durch	APPR	Duden	tu_94_xTok_000463
dieses	diese	PDAT	Duden	tu_94_xTok_000465
Betragen	Betragen	NN	Duden	tu_94_xTok_000467
ihrer	ihr	PPOSAT	Duden	tu_94_xTok_000469
Dienstfrauen	Dienstfrau	NN	DWB	tu_94_xTok_000471
ist	sein	VAFIN	Duden	tu_94_xTok_000473
dann	dann	ADV	Duden	tu_94_xTok_000475
sie	sie	PPER	Duden	tu_94_xTok_000477
Delinquentinn	Delinquentin	NN	Duden	tu_94_xTok_000478
selbst	selbst	ADV	Duden	tu_94_xTok_000480
geständiger massen	geständigermaßen	ADV		tu_94_xTok_000482
dergestalten	dergestalt	ADV	Duden	tu_94_xTok_000486
wider	wider	APPR	Duden	tu_94_xTok_000488
dieselbe	dieselbe	PDS	Duden	tu_94_xTok_000490
aufgebracht	aufbringen	VVPP	Duden	tu_94_xTok_000491
worden	werden	VAPP	Duden	tu_94_xTok_000493
<g/>
,
daß	dass	KOUS	Duden	tu_94_xTok_000496
sie	sie	PPER	Duden	tu_94_xTok_000498
immer	immer	ADV	Duden	tu_94_xTok_000500
auf	auf	APPR	Duden	tu_94_xTok_000502
Mittel	Mittel	NN	Duden	tu_94_xTok_000504
gesonnen	sinnen	VVPP	Duden	tu_94_xTok_000506
<g/>
,
wodurch	wodurch	PWAV	Duden	tu_94_xTok_000509
sie	sie	PPER	Duden	tu_94_xTok_000512
dieser	diese	PDAT	Duden	tu_94_xTok_000514
ihrer	ihr	PPOSAT	Duden	tu_94_xTok_000516
Dienstfrauen	Dienstfrau	NN	DWB	tu_94_xTok_000518
einen	ein	ART	Duden	tu_94_xTok_000520
von	von	APPR	Duden	tu_94_xTok_000522
ihr	sie	PPER	Duden	tu_94_xTok_000524
Delinquentinn	Delinquentin	NN	Duden	tu_94_xTok_000526
sogenannten	sogenannt	ADJA	Duden	tu_94_xTok_000527
Schur	Schur	NN	Duden	tu_94_xTok_000529
thun	tun	VVINF	Duden	tu_94_xTok_000531
könnte	können	VMFIN	Duden	tu_94_xTok_000533
<g/>
,
und	und	KON	Duden	tu_94_xTok_000536
sie	sie	PPER	Duden	tu_94_xTok_000538
ist	sein	VAFIN	Duden	tu_94_xTok_000540
endlich	endlich	ADV	Duden	tu_94_xTok_000542
in	in	APPR	Duden	tu_94_xTok_000544
diesem	diese	PDAT	Duden	tu_94_xTok_000546
rachgierigen	rachgierig	ADJA	Duden	tu_94_xTok_000547
Gedanken	Gedanke	NN	Duden	tu_94_xTok_000549
am	am	APPRART	Duden	tu_94_xTok_000551
19ten	19	ADJA		tu_94_xTok_000553
April	April	NN	Duden	tu_94_xTok_000556
vorigen	vorige	ADJA	Duden	tu_94_xTok_000558
Jahrs	Jahr	NN	Duden	tu_94_xTok_000560
1770.	1770	CARD		tu_94_xTok_000562
auf	auf	APPR	Duden	tu_94_xTok_000563
den	d	ART	Duden	tu_94_xTok_000565
boshaften	boshaft	ADJA	Duden	tu_94_xTok_000567
Entschluß	Entschluss	NN	Duden	tu_94_xTok_000569
verfallen	verfallen	VVPP	Duden	tu_94_xTok_000571
<g/>
,
daß	dass	KOUS	Duden	tu_94_xTok_000574
sie	sie	PPER	Duden	tu_94_xTok_000576
in	in	APPR	Duden	tu_94_xTok_000578
ihres	ihr	PPOSAT	Duden	tu_94_xTok_000580
Dienstherrn	Dienstherr	NN	Duden	tu_94_xTok_000582
Stadel	Stadel	NN	Duden	tu_94_xTok_000585
Feuer	Feuer	NN	Duden	tu_94_xTok_000587
anlegen	anlegen	VVINF	Duden	tu_94_xTok_000589
wolle	wollen	VMFIN	Duden	tu_94_xTok_000591
<g/>
.
</p>
<p id="fb_17710309_TheresiaN_p_0004">
Zufolge	zufolge	APPR	Duden	tu_94_xTok_000593
dieses	diese	PDAT	Duden	tu_94_xTok_000595
von	von	APPR	Duden	tu_94_xTok_000597
ihr	sie	PPER	Duden	tu_94_xTok_000599
gefaßten	fassen	ADJA	Duden	tu_94_xTok_000601
höchststräflichen	höchststräflich	ADJA	oov	tu_94_xTok_000603
Vorsatzes	Vorsatz	NN	Duden	tu_94_xTok_000605
<g/>
,
hat	haben	VAFIN	Duden	tu_94_xTok_000607
sie	sie	PPER	Duden	tu_94_xTok_000609
dann	dann	ADV	Duden	tu_94_xTok_000611
auch	auch	ADV	Duden	tu_94_xTok_000613
<g/>
,
vermög	vermöge	APPR	Duden	tu_94_xTok_000616
ihrer	ihr	PPOSAT	Duden	tu_94_xTok_000618
eigenen	eigen	ADJA	Duden	tu_94_xTok_000620
Bekanntnuß	Bekenntnis	NN	Duden	tu_94_xTok_000622
<g/>
,
und	und	KON	Duden	tu_94_xTok_000625
des	d	ART	Duden	tu_94_xTok_000627
Rechtsbeständig	rechtsbeständig	ADJD	DWB	tu_94_xTok_000628
erhobenen	erheben	ADJA	Duden	tu_94_xTok_000630
Befundes	Befund	NN	Duden	tu_94_xTok_000632
<g/>
,
zu	zu	APPR	Duden	tu_94_xTok_000635
vier	vier	CARD	Duden	tu_94_xTok_000637
verschiedenenmalen	verschiedenemal	ADV	DWB	tu_94_xTok_000639
nacheinander	nacheinander	ADV	Duden	tu_94_xTok_000640
<g/>
,
nämlich	nämlich	ADV	Duden	tu_94_xTok_000643
<g/>
:
an	an	APPR	Duden	tu_94_xTok_000646
gleichgedachten	gleichgedacht	ADJA	oov	tu_94_xTok_000648
19ten	19	ADJA		tu_94_xTok_000650
April	April	NN	Duden	tu_94_xTok_000653
Abends	abends	ADV	Duden	tu_94_xTok_000655
<g/>
,
dann	dann	ADV	Duden	tu_94_xTok_000657
am	am	APPRART	Duden	tu_94_xTok_000659
20ten	20	ADJA		tu_94_xTok_000661
Abends	abends	ADV	Duden	tu_94_xTok_000664
<g/>
,
am	am	APPRART	Duden	tu_94_xTok_000667
21ten	21	ADJA		tu_94_xTok_000669
Nachmittag	Nachmittag	NN	Duden	tu_94_xTok_000672
<g/>
,
und	und	KON	Duden	tu_94_xTok_000675
an	an	APPR	Duden	tu_94_xTok_000677
eben	eben	ADV	Duden	tu_94_xTok_000679
diesen	diese	PDAT	Duden	tu_94_xTok_000680
21ten	21	ADJA		tu_94_xTok_000682
Abends	abends	ADV	Duden	tu_94_xTok_000685
<g/>
,
aus	aus	APPR	Duden	tu_94_xTok_000688
ihrer	ihr	PPOSAT	Duden	tu_94_xTok_000690
Dienstfrauen	Dienstfrau	NN	Duden	tu_94_xTok_000692
Kuchel	Kuchel	NN	DWB	tu_94_xTok_000694
einen	ein	ART	Duden	tu_94_xTok_000696
glühenden	glühend	ADJA	Duden	tu_94_xTok_000698
Brand	Brand	NN	Duden	tu_94_xTok_000701
oder	oder	KON	Duden	tu_94_xTok_000703
große	groß	ADJA	Duden	tu_94_xTok_000705
Kohle	Kohle	NN	Duden	tu_94_xTok_000707
auf	auf	APPR	Duden	tu_94_xTok_000709
eine	ein	ART	Duden	tu_94_xTok_000711
Hafendecke	Hafendecke	NN	DWB	tu_94_xTok_000713
genommen	nehmen	VVPP	Duden	tu_94_xTok_000715
<g/>
,
und	und	KON	Duden	tu_94_xTok_000717
sich	sich	PRF	Duden	tu_94_xTok_000719
jedesmal	jedesmal	ADV	DWB	tu_94_xTok_000721
damit	damit	PAV	Duden	tu_94_xTok_000723
hinaus	hinaus	PTKVZ	Duden	tu_94_xTok_000725
in	in	APPR	Duden	tu_94_xTok_000727
den	d	ART	Duden	tu_94_xTok_000729
Stadel	Stadel	NN	Duden	tu_94_xTok_000731
begeben	hinausbegeben	VVPP	Duden	tu_94_xTok_000733
<g/>
,
um	um	KOUI	Duden	tu_94_xTok_000736
solche	solch	PIS	Duden	tu_94_xTok_000738
allda	allda	ADV	Duden	tu_94_xTok_000741
unter	unter	APPR	Duden	tu_94_xTok_000743
das	d	ART	Duden	tu_94_xTok_000745
Stroh	Stroh	NN	Duden	tu_94_xTok_000747
hineinzuwerfen	hineinwerfen	VVIZU	Duden	tu_94_xTok_000749
<g/>
.
Und	und	KON	Duden	tu_94_xTok_000752
<g/>
,
obschon	obschon	KOUS	Duden	tu_94_xTok_000755
sie	sie	PPER	Duden	tu_94_xTok_000757
die	d	ART	Duden	tu_94_xTok_000759
drey	drei	CARD	Duden	tu_94_xTok_000760
ersten	erste	ADJA	Duden	tu_94_xTok_000762
male	Mal	NN	Duden	tu_94_xTok_000762b
allzeit	allzeit	ADV	Duden	tu_94_xTok_000764
<g/>
,
durch	durch	APPR	Duden	tu_94_xTok_000767
eine	ein	ART	Duden	tu_94_xTok_000769
ihr	sie	PPER	Duden	tu_94_xTok_000771
gähling	gähling	ADV	DWB	tu_94_xTok_000773
angekommene	ankommen	ADJA	Duden	tu_94_xTok_000775
Reue	Reue	NN	Duden	tu_94_xTok_000776
und	und	KON	Duden	tu_94_xTok_000778
innerliches	innerlich	ADJA	Duden	tu_94_xTok_000780
Abscheuen	Abscheu	NN	Duden	tu_94_xTok_000782
<g/>
,
von	von	APPR	Duden	tu_94_xTok_000785
Vollbringung	Vollbringung	NN	Duden	tu_94_xTok_000787
der	d	ART	Duden	tu_94_xTok_000789
Mißethat	Missetat	NN	Duden	tu_94_xTok_000791
wieder	wieder	ADV	Duden	tu_94_xTok_000792
abgehalten	abhalten	VVPP	Duden	tu_94_xTok_000794
worden	werden	VAPP	Duden	tu_94_xTok_000796
<g/>
,
so	so	ADV	Duden	tu_94_xTok_000799
hat	haben	VAFIN	Duden	tu_94_xTok_000801
sie	sie	PPER	Duden	tu_94_xTok_000803
doch	doch	ADV	Duden	tu_94_xTok_000805
endlich	endlich	ADV	Duden	tu_94_xTok_000807
das	d	ART	Duden	tu_94_xTok_000809
vierte	vierte	ADJA	Duden	tu_94_xTok_000811
mal	Mal	NN	Duden	tu_94_xTok_000811b
<g/>
,
am	am	APPRART	Duden	tu_94_xTok_000813
gesagten	sagen	ADJA	Duden	tu_94_xTok_000815
21ten	21	ADJA		tu_94_xTok_000817
Monatstage	Monatstag	NN	DWB	tu_94_xTok_000820
April	April	NN	Duden	tu_94_xTok_000822
<g/>
,
um	um	APPR	Duden	tu_94_xTok_000825
7	7	CARD		tu_94_xTok_000827
Uhr	Uhr	NN	Duden	tu_94_xTok_000829
Abends	abends	ADV	Duden	tu_94_xTok_000831
<g/>
,
die	d	ART	Duden	tu_94_xTok_000834
wiederholt	wiederholt	ADJD	Duden	tu_94_xTok_000835
damals	damals	ADV	Duden	tu_94_xTok_000837
eben	eben	ADV	Duden	tu_94_xTok_000839
auf	auf	APPR	Duden	tu_94_xTok_000841
einer	ein	ART	Duden	tu_94_xTok_000843
Hafendecke	Hafendecke	NN	Duden	tu_94_xTok_000845
bey	bei	APPR	Duden	tu_94_xTok_000847
ihr	sie	PPER	Duden	tu_94_xTok_000849
gehabte	haben	ADJA	Duden	tu_94_xTok_000851
große	groß	ADJA	Duden	tu_94_xTok_000852
Kohle	Kohle	NN	Duden	tu_94_xTok_000854
<g/>
,
in	in	APPR	Duden	tu_94_xTok_000857
gemeldtem	melden	ADJA	Duden	tu_94_xTok_000859
Stadel	Stadel	NN	Duden	tu_94_xTok_000861
durch	durch	APPR	Duden	tu_94_xTok_000863
die	d	ART	Duden	tu_94_xTok_000865
rückwärts	rückwärts	ADV	Duden	tu_94_xTok_000867
