<doc id="fb_17840000_PachomiusS" delinquent_sexes="male" title="Todesurteil Pachomius S." attrs="word lemma pos vocab id">
<p id="fb_17840000_PachomiusS_p_0001">
Daß	dass	KOUS	Duden	tu_126_xTok_000056
wir	wir	PPER	Duden	tu_126_xTok_000059
nicht	nicht	PTKNEG	Duden	tu_126_xTok_000061
selten	selten	ADJD	Duden	tu_126_xTok_000063
unter	unter	APPR	Duden	tu_126_xTok_000065
dem	d	ART	Duden	tu_126_xTok_000067
Scheine	Schein	NN	Duden	tu_126_xTok_000069
des	d	ART	Duden	tu_126_xTok_000071
guten	gut	ADJ-NN	Duden	tu_126_xTok_000073
betrogen	betrügen	VVPP	Duden	tu_126_xTok_000076
werden	werden	VAFIN	Duden	tu_126_xTok_000078
<g/>
,
erhellet	erhellen	VVFIN	Duden	tu_126_xTok_000081
aus	aus	APPR	Duden	tu_126_xTok_000083
folgender	folgend	ADJA	Duden	tu_126_xTok_000085
wahrhaften	wahrhaft	ADJA	Duden	tu_126_xTok_000086
Geschichte	Geschichte	NN	Duden	tu_126_xTok_000088
sehr	sehr	ADV	Duden	tu_126_xTok_000090
deutlich	deutlich	ADJD	Duden	tu_126_xTok_000092
<g/>
—
</p>
<p id="fb_17840000_PachomiusS_p_0002">
Zu	zu	APPR	Duden	tu_126_xTok_000095
Marienthall	Mariental	NE::top	oov	tu_126_xTok_000097
2	2	CARD		tu_126_xTok_000099
Meilen	Meile	NN	Duden	tu_126_xTok_000101
von	von	APPR	Duden	tu_126_xTok_000103
Abtenzell	Abtenzell	NE::top	oov	tu_126_xTok_000105
in	in	APPR	Duden	tu_126_xTok_000107
Schwaben	Schwaben	NE::top	oov	tu_126_xTok_000108
gelegen	liegen	VVPP	Duden	tu_126_xTok_000110
<g/>
,
war	sein	VAFIN	Duden	tu_126_xTok_000113
eine	ein	ART	Duden	tu_126_xTok_000115
niedliche	niedlich	ADJA	Duden	tu_126_xTok_000117
Klausur	Klausur	NN	Duden	tu_126_xTok_000119
erbauet	erbauen	VVPP	Duden	tu_126_xTok_000121
<g/>
,
welche	welch	PRELS	Duden	tu_126_xTok_000125
ein	ein	ART	Duden	tu_126_xTok_000127
Einsiedler	Einsiedler	NN	Duden	tu_126_xTok_000129
Namens	namens	ADV	Duden	tu_126_xTok_000131
<persName id="pachomiuss126">
Pachomius	Pachomius	NE	oov	tu_126_xTok_000133
S.	S.	NE	oov	tu_126_xTok_000136
</persName>
<g/>
*
<g/>
*
<g/>
*
schon	schon	ADV	Duden	tu_126_xTok_000145
über	über	APPR	Duden	tu_126_xTok_000147
30	30	CARD		tu_126_xTok_000149
Jahre	Jahr	NN	Duden	tu_126_xTok_000151
bewohnte	bewohnen	VVFIN	Duden	tu_126_xTok_000153
<g/>
.
Sein	sein	PPOSAT	Duden	tu_126_xTok_000156
silbergrauer	silbergrau	ADJA	Duden	tu_126_xTok_000157
Bart	Bart	NN	Duden	tu_126_xTok_000159
<g/>
,
seine	sein	PPOSAT	Duden	tu_126_xTok_000162
heiligmäßige	heiligmäßig	ADJA	Duden	tu_126_xTok_000164
Minen	Miene	NN	Duden	tu_126_xTok_000166
<g/>
,
sein	sein	PPOSAT	Duden	tu_126_xTok_000169
andächtiges	andächtig	ADJA	Duden	tu_126_xTok_000170
Wesen	Wesen	NN	Duden	tu_126_xTok_000172
<g/>
,
sein	sein	PPOSAT	Duden	tu_126_xTok_000175
eingezohner	eingezogen	ADJA	DWB	tu_126_xTok_000177
