<doc id="fb_17740604_AbrahamAaron" delinquent_sexes="male" title="Todesurteil Abraham Aaron" attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_107_xTok_000151
seines	sein	PPOSAT	Duden	tu_107_xTok_000153
Verbrechens	Verbrechen	NN	Duden	tu_107_xTok_000155
<g/>
.
</head>
<p id="fb_17740604_AbrahamAaron_p_0001">
So	so	ADV	Duden	tu_107_xTok_000157
wie	wie	KOUS	Duden	tu_107_xTok_000160
Jnquisit	Inquisit	NN	Duden	tu_107_xTok_000162
in	in	APPR	Duden	tu_107_xTok_000164
seinem	sein	PPOSAT	Duden	tu_107_xTok_000166
gerichtlichen	gerichtlich	ADJA	Duden	tu_107_xTok_000168
Verhör	Verhör	NN	Duden	tu_107_xTok_000170
eingestanden	eingestehen	VVPP	Duden	tu_107_xTok_000172
<g/>
,
und	und	KON	Duden	tu_107_xTok_000174
so	so	ADV	Duden	tu_107_xTok_000176
wie	wie	KOUS	Duden	tu_107_xTok_000178
durch	durch	APPR	Duden	tu_107_xTok_000180
die	d	ART	Duden	tu_107_xTok_000182
vollführte	vollführen	ADJA	Duden	tu_107_xTok_000184
Untersuchung	Untersuchung	NN	Duden	tu_107_xTok_000186
behoben	beheben	VVPP	DWB	tu_107_xTok_000188
worden	werden	VAPP	Duden	tu_107_xTok_000190
<g/>
,
hat	haben	VAFIN	Duden	tu_107_xTok_000194
derselbe	derselbe	PDS	Duden	tu_107_xTok_000196
mit	mit	APPR	Duden	tu_107_xTok_000198
einer	ein	ART	Duden	tu_107_xTok_000200
Holleschauer	Holleschauer	ADJA	oov	tu_107_xTok_000202
Christlichen	christlich	ADJA	Duden	tu_107_xTok_000204
Weibsperson	Weibsperson	NN	Duden	tu_107_xTok_000206
<g/>
,
Tochter	Tochter	NN	Duden	tu_107_xTok_000210
eines	ein	ART	Duden	tu_107_xTok_000212
Kirschners	Kürschner	NN	Duden	tu_107_xTok_000214
schon	schon	ADV	Duden	tu_107_xTok_000216
zuvor	zuvor	ADV	Duden	tu_107_xTok_000218
Bekanntschaft	Bekanntschaft	NN	Duden	tu_107_xTok_000220
gehabt	haben	VAPP	Duden	tu_107_xTok_000222
<g/>
,
derselben	dieselbe	PDS	Duden	tu_107_xTok_000224
Königlhäutel	Königlhäutel	NN	oov	tu_107_xTok_000226
und	und	KON	Duden	tu_107_xTok_000228
andere	andere	ADJA	Duden	tu_107_xTok_000230
Felle	Fell	NN	Duden	tu_107_xTok_000232
zu	zu	PTKZU	Duden	tu_107_xTok_000234
verkaufen	verkaufen	VVINF	Duden	tu_107_xTok_000236
<g/>
,
auch	auch	ADV	Duden	tu_107_xTok_000239
mit	mit	APPR	Duden	tu_107_xTok_000241
ihr	sie	PPER	Duden	tu_107_xTok_000242
