<doc id="fb_17730730_MathiasA" delinquent_sexes="male" title="Todesurteil Mathias A." attrs="word lemma pos vocab id">
<head>
Jnhalt	Inhalt	NN	Duden	tu_104_xTok_000144
seines	sein	PPOSAT	Duden	tu_104_xTok_000146
Verbrechens	Verbrechen	NN	Duden	tu_104_xTok_000148
<g/>
.
</head>
<p id="fb_17730730_MathiasA_p_0001">
Nachdeme	nachdem	KOUS	Duden	tu_104_xTok_000150
dieser	diese	PDAT	Duden	tu_104_xTok_000153
Delinquent	Delinquent	NN	Duden	tu_104_xTok_000155
bis	bis	APPR	Duden	tu_104_xTok_000157
in	in	APPR	Duden	tu_104_xTok_000159
das	d	ART	Duden	tu_104_xTok_000161
16te	16	ADJA		tu_104_xTok_000163
Jahr	Jahr	NN	Duden	tu_104_xTok_000166
seines	sein	PPOSAT	Duden	tu_104_xTok_000168
Alters	Alter	NN	Duden	tu_104_xTok_000170
bey	bei	APPR	Duden	tu_104_xTok_000173
seinem	sein	PPOSAT	Duden	tu_104_xTok_000175
Vetter	Vetter	NN	Duden	tu_104_xTok_000177
<g/>
,
einen	ein	ART	Duden	tu_104_xTok_000180
behausten	behaust	ADJA	Duden	tu_104_xTok_000182
Bauer	Bauer	NN	Duden	tu_104_xTok_000184
zu	zu	APPR	Duden	tu_104_xTok_000186
Rogendorff	Roggendorf	NE::top	oov	tu_104_xTok_000188
<g/>
,
in	in	APPR	Duden	tu_104_xTok_000192
Auf=	Aufhalt	TRUNC	Duden	tu_104_xTok_000194
und	und	KON	Duden	tu_104_xTok_000196
Unterhalte	Unterhalt	NN	Duden	tu_104_xTok_000198
gestanden	stehen	VVPP	Duden	tu_104_xTok_000200
<g/>
,
ist	sein	VAFIN	Duden	tu_104_xTok_000203
er	er	PPER	Duden	tu_104_xTok_000205
sohin	sohin	ADV	Duden	tu_104_xTok_000207
vor	vor	APPR	Duden	tu_104_xTok_000209
ungefähr	ungefähr	ADV	Duden	tu_104_xTok_000210
4.	4	CARD		tu_104_xTok_000212
Jahren	Jahr	NN	Duden	tu_104_xTok_000214
zum	zum	APPRART	Duden	tu_104_xTok_000216
ersten	erste	ADJA	Duden	tu_104_xTok_000218
mal	Mal	NN	Duden	tu_104_xTok_000218b
hierher	hierher	PTKVZ	Duden	tu_104_xTok_000220
gekommen	hierherkommen	VVPP	Duden	tu_104_xTok_000222
<g/>
,
und	und	KON	Duden	tu_104_xTok_000225
durch	durch	APPR	Duden	tu_104_xTok_000227
etwelche	etwelch	PIAT	Duden	tu_104_xTok_000228
Monate	Monat	NN	Duden	tu_104_xTok_000230
der	d	ART	Duden	tu_104_xTok_000232
Tagwerksarbeit	Tagwerksarbeit	NN	oov	tu_104_xTok_000234
nachgegangen	nachgehen	VVPP	Duden	tu_104_xTok_000236
<g/>
,
hierauf	hierauf	PAV	Duden	tu_104_xTok_000241
aber	aber	ADV	Duden	tu_104_xTok_000243
von	von	APPR	Duden	tu_104_xTok_000244
seinen	sein	PPOSAT	Duden	tu_104_xTok_000246
gleichfalls	gleichfalls	ADV	Duden	tu_104_xTok_000248
allhier	allhier	ADV	Duden	tu_104_xTok_000250
befindlichen	befindlich	ADJA	Duden	tu_104_xTok_000252
Vater	Vater	NN	Duden	tu_104_xTok_000254
in	in	APPR	Duden	tu_104_xTok_000256
ein	ein	ART	Duden	tu_104_xTok_000258
sicheres	sicher	ADJA	DWB	tu_104_xTok_000260
Vorstadtwirthshaus	Vorstadtwirtshaus	NN	oov	tu_104_xTok_000262
in	in	APPR	Duden	tu_104_xTok_000265
Dienst	Dienst	NN	Duden	tu_104_xTok_000267
gebracht	bringen	VVPP	Duden	tu_104_xTok_000269
worden	werden	VAPP	Duden	tu_104_xTok_000271
<g/>
,
aus	aus	APPR	Duden	tu_104_xTok_000274
welchem	welch	PRELS	Duden	tu_104_xTok_000276
er	er	PPER	Duden	tu_104_xTok_000278
jedoch	jedoch	ADV	Duden	tu_104_xTok_000280
nach	nach	APPR	Duden	tu_104_xTok_000281
wenigen	wenig	PIAT	Duden	tu_104_xTok_000283
Tägen	Tag	NN	Duden	tu_104_xTok_000285
mit	mit	APPR	Duden	tu_104_xTok_000287
verschiedenen	verschieden	ADJA	Duden	tu_104_xTok_000289
daselbst	daselbst	ADV	Duden	tu_104_xTok_000291
entfremdeten	entfremden	ADJA	Duden	tu_104_xTok_000293
<g/>
,
von	von	APPR	Duden	tu_104_xTok_000296
seinem	sein	PPOSAT	Duden	tu_104_xTok_000297
Vater	Vater	NN	Duden	tu_104_xTok_000299
hingegen	hingegen	ADV	Duden	tu_104_xTok_000301
denen	d	ART	Duden	tu_104_xTok_000303
diesfällig	diesfällig	ADJD	Duden	tu_104_xTok_000305
verlustigten	verlustig	ADJA	DWB	tu_104_xTok_000307
Partheyen	Partei	NN	Duden	tu_104_xTok_000309
mit	mit	APPR	Duden	tu_104_xTok_000311
22.	22	CARD		tu_104_xTok_000312
fl.	Flore	NN	DWB	tu_104_xTok_000314
außergerichtlich	außergerichtlich	ADJD	Duden	tu_104_xTok_000317
ersetzten	ersetzen	ADJA	Duden	tu_104_xTok_000319
Habschaften	Habschaft	NN	Duden	tu_104_xTok_000321
entwichen	entweichen	VVPP	Duden	tu_104_xTok_000323
ist	sein	VAFIN	Duden	tu_104_xTok_000325
<g/>
.
</p>
<p id="fb_17730730_MathiasA_p_0002">
Hierüber	hierüber	PAV	Duden	tu_104_xTok_000327
hat	haben	VAFIN	Duden	tu_104_xTok_000329
er	er	PPER	Duden	tu_104_xTok_000331
Delinquent	Delinquent	NN	Duden	tu_104_xTok_000333
zwar	zwar	ADV	Duden	tu_104_xTok_000335
bey	bei	APPR	Duden	tu_104_xTok_000337
einem	ein	ART	Duden	tu_104_xTok_000339
Mühlermeister	Müllermeister	NN	DRW	tu_104_xTok_000341
zu	zu	APPR	Duden	tu_104_xTok_000342
Ebergaßing	Ebergassing	NE::top	oov	tu_104_xTok_000344
durch	durch	APPR	Duden	tu_104_xTok_000346
3.	3	CARD		tu_104_xTok_000348
Monate	Monat	NN	Duden	tu_104_xTok_000350
als	als	KOKOM	Duden	tu_104_xTok_000352
Roßknecht	Rossknecht	NN	DWB	tu_104_xTok_000354
gedienet	dienen	VVPP	Duden	tu_104_xTok_000356
<g/>
,
nach	nach	APPR	Duden	tu_104_xTok_000359
deren	d	PRELAT	Duden	tu_104_xTok_000360
Verlauf	Verlauf	NN	Duden	tu_104_xTok_000362
aber	aber	ADV	Duden	tu_104_xTok_000364
nach	nach	APPR	Duden	tu_104_xTok_000366
seiner	sein	PPOSAT	Duden	tu_104_xTok_000368
selbst	selbst	ADV	Duden	tu_104_xTok_000370
eigenen	eigen	ADJA	Duden	tu_104_xTok_000372
Geständniß	Geständnis	NN	Duden	tu_104_xTok_000374
nach	nach	APPO	Duden	tu_104_xTok_000376
<g/>
,
zweyen	zwei	CARD	Duden	tu_104_xTok_000378
Tabackschwärzern	Tabakschwärzer	NN	oov	tu_104_xTok_000380
sich	sich	PRF	Duden	tu_104_xTok_000382
zugesellet	zugesellen	VVPP	Duden	tu_104_xTok_000384
<g/>
,
mit	mit	APPR	Duden	tu_104_xTok_000387
welchen	welch	PRELS	Duden	tu_104_xTok_000389
er	er	PPER	Duden	tu_104_xTok_000391
gegen	gegen	APPR	Duden	tu_104_xTok_000393
drey	drei	CARD	Duden	tu_104_xTok_000395
Vierteljahre	Vierteljahr	NN	Duden	tu_104_xTok_000396
lang	lang	ADJD	Duden	tu_104_xTok_000398
der	d	ART	Duden	tu_104_xTok_000400
Tabackeinschwärzung	Tabakeinschwärzung	NN	oov	tu_104_xTok_000402
nachgegangen	nachgehen	VVPP	Duden	tu_104_xTok_000404
<g/>
,
zur	zur	APPRART	Duden	tu_104_xTok_000407
Fastenzeit	Fastenzeit	NN	Duden	tu_104_xTok_000409
des	d	ART	Duden	tu_104_xTok_000412
1771sten	1771	ADJA		tu_104_xTok_000414
Jahrs	Jahr	NN	Duden	tu_104_xTok_000417
hingegen	hingegen	ADV	Duden	tu_104_xTok_000419
zu	zu	APPR	Duden	tu_104_xTok_000421
Schwadorff	Schwadorf	NE::top	oov	tu_104_xTok_000423
abermalen	abermals	ADV	Duden	tu_104_xTok_000425
bey	bei	APPR	Duden	tu_104_xTok_000427
einem	ein	ART	Duden	tu_104_xTok_000428
Mühlnermeister	Müllermeister	NN	DRW	tu_104_xTok_000430
