<doc id="fb_17800609_JohannGeorgE_Marti" delinquent_sexes="male" title="Todesurteil Johann Georg E., Martin W." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_118_xTok_000166
ihrer	ihr	PPOSAT	Duden	tu_118_xTok_000168
Verbrechen	Verbrechen	NN	Duden	tu_118_xTok_000170
<g/>
.
</head>
<p id="fb_17800609_JohannGeorgE_Marti_p_0001">
Der	d	ART	Duden	tu_118_xTok_000172
Johann	Johann	NE	Duden	tu_118_xTok_000175
Georg	Georg	NE	Duden	tu_118_xTok_000177
E.	E.	NE	oov	tu_118_xTok_000179
ließ	lassen	VVFIN	Duden	tu_118_xTok_000182
sich	sich	PRF	Duden	tu_118_xTok_000184
vor	vor	APPR	Duden	tu_118_xTok_000186
vier	vier	CARD	Duden	tu_118_xTok_000188
Jahren	Jahr	NN	Duden	tu_118_xTok_000190
zu	zu	APPR	Duden	tu_118_xTok_000192
Oedenburg	Ödenburg	NE::top	Duden	tu_118_xTok_000194
in	in	APPR	Duden	tu_118_xTok_000197
Hungarn	Ungarn	NE::top	Duden	tu_118_xTok_000199
zum	zum	APPRART	Duden	tu_118_xTok_000202
Soldaten	Soldat	NN	Duden	tu_118_xTok_000204
anwerben	anwerben	VVINF	Duden	tu_118_xTok_000206
<g/>
,
von	von	APPR	Duden	tu_118_xTok_000209
wannen	wannen	ADV	DWB	tu_118_xTok_000211
er	er	PPER	Duden	tu_118_xTok_000212
aber	aber	ADV	Duden	tu_118_xTok_000214
in	in	APPR	Duden	tu_118_xTok_000216
Kürze	Kürze	NN	Duden	tu_118_xTok_000218
darauf	darauf	PAV	Duden	tu_118_xTok_000220
desertirte	desertieren	VVFIN	Duden	tu_118_xTok_000222
<g/>
,
und	und	KON	Duden	tu_118_xTok_000225
sohin	sohin	ADV	Duden	tu_118_xTok_000227
als	als	KOKOM	Duden	tu_118_xTok_000229
ein	ein	ART	Duden	tu_118_xTok_000231
sehr	sehr	ADV	Duden	tu_118_xTok_000233
verdächtiger	verdächtig	ADJA	Duden	tu_118_xTok_000235
Kerl	Kerl	NN	Duden	tu_118_xTok_000238
allhier	allhier	ADV	Duden	tu_118_xTok_000240
gefänglich	gefänglich	ADJD	Duden	tu_118_xTok_000242
eingezogen	einziehen	VVPP	DWB	tu_118_xTok_000244
<g/>
,
hierüber	hierüber	PAV	Duden	tu_118_xTok_000247
als	als	KOKOM	Duden	tu_118_xTok_000249
ein	ein	ART	Duden	tu_118_xTok_000251
sich	sich	PRF	Duden	tu_118_xTok_000252
selbst	selbst	ADV	Duden	tu_118_xTok_000254
angegebener	angeben	ADJA	Duden	tu_118_xTok_000256
Deserteur	Deserteur	NN	Duden	tu_118_xTok_000258
der	d	ART	Duden	tu_118_xTok_000260
ausgeliefert	ausliefern	VVPP	Duden	tu_118_xTok_000264
<g/>
,
und	und	KON	Duden	tu_118_xTok_000268
alldort	alldort	ADV	DWB	tu_118_xTok_000270
mit	mit	APPR	Duden	tu_118_xTok_000272
Spißruthenlaufen	Spießrutenlaufen	NN	Duden	tu_118_xTok_000274
bestraffet	bestrafen	VVPP	Duden	tu_118_xTok_000276
wurde	werden	VAFIN	Duden	tu_118_xTok_000278
<g/>
.
Diese	diese	PDAT	Duden	tu_118_xTok_000281
Züchtigung	Züchtigung	NN	Duden	tu_118_xTok_000284
diente	dienen	VVFIN	Duden	tu_118_xTok_000286
ihm	er	PPER	Duden	tu_118_xTok_000288
doch	doch	ADV	Duden	tu_118_xTok_000290
nicht	nicht	PTKNEG	Duden	tu_118_xTok_000292
zur	zur	APPRART	Duden	tu_118_xTok_000294
Besserung	Besserung	NN	Duden	tu_118_xTok_000296
<g/>
,
sondern	sondern	KON	Duden	tu_118_xTok_000299
er	er	PPER	Duden	tu_118_xTok_000300
ward	werden	VAFIN	Duden	tu_118_xTok_000302
nach	nach	APPR	Duden	tu_118_xTok_000304
weniger	wenig	PIAT	Duden	tu_118_xTok_000306
Zeit	Zeit	NN	Duden	tu_118_xTok_000308
neuerdings	neuerdings	ADV	Duden	tu_118_xTok_000310
Meineidig	meineidig	ADJD	Duden	tu_118_xTok_000312
<g/>
,
gerieth	geraten	VVFIN	Duden	tu_118_xTok_000316
sodann	sodann	ADV	Duden	tu_118_xTok_000318
wegen	wegen	APPR	Duden	tu_118_xTok_000322
eines	ein	ART	Duden	tu_118_xTok_000324
ihm	er	PPER	Duden	tu_118_xTok_000326
zugemutheten	zumuten	ADJA	DWB	tu_118_xTok_000328
Raubes	Raub	NN	Duden	tu_118_xTok_000330
zu	zu	APPR	Duden	tu_118_xTok_000333
Rodaun	Rodaun	NE::top	oov	tu_118_xTok_000335
im	im	APPRART	Duden	tu_118_xTok_000337
Arrest	Arrest	NN	Duden	tu_118_xTok_000338
<g/>
,
von	von	APPR	Duden	tu_118_xTok_000341
da	da	ADV	Duden	tu_118_xTok_000343
er	er	PPER	Duden	tu_118_xTok_000345
abermal	abermals	ADV	Duden	tu_118_xTok_000347
als	als	KOKOM	Duden	tu_118_xTok_000349
ein	ein	ART	Duden	tu_118_xTok_000351
Meineidiger	meineidig	ADJ-NN	Duden	tu_118_xTok_000353
seinem	sein	PPOSAT	Duden	tu_118_xTok_000355
Regiment	Regiment	NN	Duden	tu_118_xTok_000357
übergeben	übergeben	VVPP	Duden	tu_118_xTok_000360
<g/>
,
und	und	KON	Duden	tu_118_xTok_000363
von	von	APPR	Duden	tu_118_xTok_000365
solchem	solch	PIS	Duden	tu_118_xTok_000367
<g/>
,
weil	weil	KOUS	Duden	tu_118_xTok_000370
er	er	PPER	Duden	tu_118_xTok_000372
wiederholt	wiederholt	ADJD	Duden	tu_118_xTok_000374
zu	zu	PTKZU	Duden	tu_118_xTok_000376
entweichen	entweichen	VVINF	Duden	tu_118_xTok_000378
im	im	APPRART	Duden	tu_118_xTok_000381
Sinne	Sinn	NN	Duden	tu_118_xTok_000383
hatte	haben	VAFIN	Duden	tu_118_xTok_000385
<g/>
,
auf	auf	APPR	Duden	tu_118_xTok_000388
5	5	CARD		tu_118_xTok_000390
Jahre	Jahr	NN	Duden	tu_118_xTok_000392
in	in	APPR	Duden	tu_118_xTok_000394
die	d	ART	Duden	tu_118_xTok_000396
Festung	Festung	NN	Duden	tu_118_xTok_000398
Ollmütz	Olmütz	NE::top	oov	tu_118_xTok_000400
zur	zur	APPRART	Duden	tu_118_xTok_000401
Arbeit	Arbeit	NN	Duden	tu_118_xTok_000403
in	in	APPR	Duden	tu_118_xTok_000405
Band	Band	NN	Duden	tu_118_xTok_000407
und	und	KON	Duden	tu_118_xTok_000409
Eisen	Eisen	NN	Duden	tu_118_xTok_000411
abgeurtheilet	aburteilen	VVPP	Duden	tu_118_xTok_000413
wurde	werden	VAFIN	Duden	tu_118_xTok_000415
<g/>
;
aber	aber	KON	Duden	tu_118_xTok_000418
auch	auch	ADV	Duden	tu_118_xTok_000419
diese	diese	PDAT	Duden	tu_118_xTok_000421
