<doc id="fb_17390924_AndreasS" delinquent_sexes="male" title="Todesurteil Andreas S." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_14_xTok_000189
des	d	ART	Duden	tu_14_xTok_000191
Verbrechen	Verbrechen	NN	Duden	tu_14_xTok_000193
dieses	diese	PDAT	Duden	tu_14_xTok_000195
Delinquenten	Delinquent	NN	Duden	tu_14_xTok_000197
<g/>
.
</head>
<p id="fb_17390924_AndreasS_p_0001">
Dieser	diese	PDAT	Duden	tu_14_xTok_000200
anheutige	anheutig	ADJA	oov	tu_14_xTok_000202
aufgesetzte	aufsetzen	ADJA	Duden	tu_14_xTok_000204
Delinquent	Delinquent	NN	Duden	tu_14_xTok_000206
hat	haben	VAFIN	Duden	tu_14_xTok_000208
mit	mit	APPR	Duden	tu_14_xTok_000210
einem	ein	ART	Duden	tu_14_xTok_000212
zu Handen	zuhanden	APPR		tu_14_xTok_000214
bekom̅enen	bekommen	ADJA	Duden	tu_14_xTok_000218
Burg=Haubt=Schlüssel	Burghauptschlüssel	NN	oov	tu_14_xTok_000220
auß	aus	APPR	Duden	tu_14_xTok_000223
denen	d	ART	Duden	tu_14_xTok_000225
versperrt=	versperren	ADJD	Duden	tu_14_xTok_000227
gewesten	sein	ADJA	Duden	tu_14_xTok_000227b
Kayserl.	kaiserlich	ADJA	Duden	tu_14_xTok_000229
Oratorien	Oratorium	NN	Duden	tu_14_xTok_000232
<g/>
/
wie	wie	KOKOM	Duden	tu_14_xTok_000237
auch	auch	ADV	Duden	tu_14_xTok_000239
auß	aus	APPR	Duden	tu_14_xTok_000241
einer	ein	ART	Duden	tu_14_xTok_000243
Ertz=Herzogl.	erzherzoglich	ADJA	Duden	tu_14_xTok_000245
Anti-Cammera	Anticamera	NN	oov	tu_14_xTok_000248
<g/>
,
dann	dann	ADV	Duden	tu_14_xTok_000251
dem	d	ART	Duden	tu_14_xTok_000253
Spiegl=Zimmer	Spiegelzimmer	NN	Duden	tu_14_xTok_000255
von	von	APPR	Duden	tu_14_xTok_000257
denen	d	ART	Duden	tu_14_xTok_000259
allda	allda	ADV	Duden	tu_14_xTok_000261
befindlich=	befindlich	ADJA	Duden	tu_14_xTok_000263
sammaten	sammeten	ADJA	DWB	tu_14_xTok_000263b
Teppichen	Teppich	NN	Duden	tu_14_xTok_000266
<g/>
/
Baldachin	Baldachin	NN	Duden	tu_14_xTok_000270
<g/>
/
und	und	KON	Duden	tu_14_xTok_000274
Rucken=Wand	Rückwand	NN	Duden	tu_14_xTok_000276
<g/>
/
Fenster=Fürhängen	Fenstervorhang	NN	Duden	tu_14_xTok_000280
<g/>
/
die	d	ART	Duden	tu_14_xTok_000284
daran	daran	PAV	Duden	tu_14_xTok_000286
geweste	sein	ADJA	Duden	tu_14_xTok_000288
Gold=	golden	ADJA	Duden	tu_14_xTok_000290
zum	zum	APPRART	Duden	tu_14_xTok_000292
theil	Teil	NN	Duden	tu_14_xTok_000294
auch	auch	ADV	Duden	tu_14_xTok_000296
silberne	silbern	ADJA	Duden	tu_14_xTok_000298
Borden	Borte	NN	Duden	tu_14_xTok_000300
<g/>
/
und	und	KON	Duden	tu_14_xTok_000304
goldene	golden	ADJA	Duden	tu_14_xTok_000306
Frantzen	Franse	NN	Duden	tu_14_xTok_000308
<g/>
/
so	so	PRELS	Duden	tu_14_xTok_000312
Eydlich	eidlich	ADJD	Duden	tu_14_xTok_000314
außgesagter massen	ausgesagtermaßen	ADV		tu_14_xTok_000317
in	in	FM	G-LDHW	tu_14_xTok_000321
circa	circa	FM	G-LDHW	tu_14_xTok_000321b
700.	700	CARD		tu_14_xTok_000323
fl.	Flore	NN	DWB	tu_14_xTok_000325
in	in	APPR	Duden	tu_14_xTok_000328
dem	d	ART	Duden	tu_14_xTok_000330
Werth	Wert	NN	Duden	tu_14_xTok_000332
betragen	betragen	VVPP	Duden	tu_14_xTok_000334
<g/>
/
binnen	binnen	APPR	Duden	tu_14_xTok_000339
einer	ein	ART	Duden	tu_14_xTok_000341
Zeit	Zeit	NN	Duden	tu_14_xTok_000343
von	von	APPR	Duden	tu_14_xTok_000345
drey	drei	CARD	Duden	tu_14_xTok_000347
Viertl	Viertel	NN	Duden	tu_14_xTok_000349
Jahren	Jahr	NN	Duden	tu_14_xTok_000351
zu	zu	APPR	Duden	tu_14_xTok_000353
4.	4	CARD		tu_14_xTok_000354
verschiedenen	verschieden	ADJA	Duden	tu_14_xTok_000356
mahlen	Mal	NN	Duden	tu_14_xTok_000358
diebisch	diebisch	ADJD	Duden	tu_14_xTok_000360
herabgetrennet	herabtrennen	VVPP	oov	tu_14_xTok_000362
<g/>
/
und	und	KON	Duden	tu_14_xTok_000366
das	d	ART	Duden	tu_14_xTok_000369
heraußgebrennte	herausbrennen	ADJA	oov	tu_14_xTok_000371
Silber	Silber	NN	Duden	tu_14_xTok_000373
verkauffet	verkaufen	VVPP	Duden	tu_14_xTok_000375
<g/>
/
wie	wie	KOKOM	Duden	tu_14_xTok_000379
auch	auch	ADV	Duden	tu_14_xTok_000381
nach	nach	APPR	Duden	tu_14_xTok_000383
seiner	sein	PPOSAT	Duden	tu_14_xTok_000386
vor	vor	APPR	Duden	tu_14_xTok_000388
dritthalb	dritthalb	ADJA	DWB	tu_14_xTok_000390
Monathen	Monat	NN	Duden	tu_14_xTok_000392
erfolgten	erfolgen	ADJA	Duden	tu_14_xTok_000394
Verehligung	Verehelichung	NN	Duden	tu_14_xTok_000396
<g/>
/
