<doc id="fb_17730422_LeopoldK_JosephR" delinquent_sexes="male" title="Todesurteil Leopold K., Joseph R." attrs="word lemma pos vocab id">
<head>
Jnhalt	Inhalt	NN	Duden	tu_101_xTok_000176
ihres	ihr	PPOSAT	Duden	tu_101_xTok_000178
Verbrechens	Verbrechen	NN	Duden	tu_101_xTok_000180
<g/>
.
</head>
<p id="fb_17730422_LeopoldK_JosephR_p_0001">
Diese	diese	PDAT	Duden	tu_101_xTok_000182
Delinquenten	Delinquent	NN	Duden	tu_101_xTok_000185
sind	sein	VAFIN	Duden	tu_101_xTok_000187
vorhin	vorhin	ADV	Duden	tu_101_xTok_000189
zu	zu	APPR	Duden	tu_101_xTok_000191
Wullersdorf	Wullersdorf	NE::top	oov	tu_101_xTok_000193
<g/>
,
einem	ein	ART	Duden	tu_101_xTok_000196
in	in	APPR	Duden	tu_101_xTok_000198
dem	d	ART	Duden	tu_101_xTok_000200
V. U. M. B.	ViertelunterManhartsberg	NE::top		tu_101_xTok_000201
liegenden	liegen	ADJA	Duden	tu_101_xTok_000213
Orte	Ort	NN	Duden	tu_101_xTok_000215
<g/>
,
als	als	KOKOM	Duden	tu_101_xTok_000218
Bauernknechte	Bauernknecht	NN	Duden	tu_101_xTok_000220
in	in	APPR	Duden	tu_101_xTok_000222
Diensten	Dienst	NN	Duden	tu_101_xTok_000224
gestanden	stehen	VVPP	Duden	tu_101_xTok_000225
<g/>
,
aus	aus	APPR	Duden	tu_101_xTok_000228
solchen	solch	PIS	Duden	tu_101_xTok_000230
aber	aber	ADV	Duden	tu_101_xTok_000232
den	d	ART	Duden	tu_101_xTok_000234
7.	7	ADJA		tu_101_xTok_000236
Februarii	Februar	NN	Duden	tu_101_xTok_000238
<g/>
,
als	als	KOKOM	Duden	tu_101_xTok_000241
am	am	APPRART	Duden	tu_101_xTok_000243
Sonntage	Sonntag	NN	Duden	tu_101_xTok_000245
nach	nach	APPR	Duden	tu_101_xTok_000246
Lichtmeßen	Lichtmess	NN	Duden	tu_101_xTok_000248
dieses	diese	PDAT	Duden	tu_101_xTok_000250
Jahres	Jahr	NN	Duden	tu_101_xTok_000252
<g/>
,
zugleich	zugleich	ADV	Duden	tu_101_xTok_000255
ausgetreten	austreten	VVPP	Duden	tu_101_xTok_000257
<g/>
,
und	und	KON	Duden	tu_101_xTok_000260
den	d	ART	Duden	tu_101_xTok_000262
16.	16	ADJA		tu_101_xTok_000264
darauf	darauf	PAV	Duden	tu_101_xTok_000265
<g/>
,
ihrem	ihr	PPOSAT	Duden	tu_101_xTok_000268
Vorgeben	Vorgeben	NN	Duden	tu_101_xTok_000270
nach	nach	APPO	Duden	tu_101_xTok_000272
<g/>
,
in	in	APPR	Duden	tu_101_xTok_000275
der	d	ART	Duden	tu_101_xTok_000277
Absicht	Absicht	NN	Duden	tu_101_xTok_000279
allhier	allhier	ADV	Duden	tu_101_xTok_000281
Haus=	Hausknechtsdienst	TRUNC	DRW	tu_101_xTok_000283
oder	oder	KON	Duden	tu_101_xTok_000285
Fuhrknechtsdienste	Fuhrknechtdienst	NN	oov	tu_101_xTok_000286
zu	zu	PTKZU	Duden	tu_101_xTok_000288
suchen	suchen	VVINF	Duden	tu_101_xTok_000290
<g/>
,
von	von	APPR	Duden	tu_101_xTok_000293
