<doc id="fb_17540607_WilhelmH" delinquent_sexes="male" title="Todesurteil Wilhelm H." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_59_xTok_000167
seines	sein	PPOSAT	Duden	tu_59_xTok_000169
Verbrechens	Verbrechen	NN	Duden	tu_59_xTok_000171
<g/>
.
</head>
<p id="fb_17540607_WilhelmH_p_0001">
Es	es	PPER	Duden	tu_59_xTok_000173
ist	sein	VAFIN	Duden	tu_59_xTok_000176
dieser	diese	PDAT	Duden	tu_59_xTok_000178
Wilhelm	Wilhelm	NE	Duden	tu_59_xTok_000180
H.	H.	NE	oov	tu_59_xTok_000182
<g/>
.
<g/>
.
<g/>
.
aus	aus	APPR	Duden	tu_59_xTok_000191
dem	d	ART	Duden	tu_59_xTok_000193
Chur=pfälzischen	kurpfälzisch	ADJ-NN	Duden	tu_59_xTok_000195
<g/>
,
nachdeme	nachdem	KOUS	Duden	tu_59_xTok_000197
er	er	PPER	Duden	tu_59_xTok_000199
allschon	allschon	ADV	oov	tu_59_xTok_000201
in	in	APPR	Duden	tu_59_xTok_000203
seiner	sein	PPOSAT	Duden	tu_59_xTok_000205
Kindheit	Kindheit	NN	Duden	tu_59_xTok_000207
von	von	APPR	Duden	tu_59_xTok_000209
beyden	beide	PIAT	Duden	tu_59_xTok_000211
Eltern	Eltern	NN	Duden	tu_59_xTok_000213
verwaiset	verwaisen	VVPP	Duden	tu_59_xTok_000214
worden	werden	VAPP	Duden	tu_59_xTok_000216
<g/>
,
mit	mit	APPR	Duden	tu_59_xTok_000219
13.	13	CARD		tu_59_xTok_000221
Jahren	Jahr	NN	Duden	tu_59_xTok_000223
seines	sein	PPOSAT	Duden	tu_59_xTok_000225
Alters	Alter	NN	Duden	tu_59_xTok_000227
hieher	hieher	PAV	Duden	tu_59_xTok_000229
nacher	nacher	APPR	DWB	tu_59_xTok_000230
Wien	Wien	NE::top	Duden	tu_59_xTok_000232
gekommen	kommen	VVPP	Duden	tu_59_xTok_000234
<g/>
,
allwo	allwo	PWAV	Duden	tu_59_xTok_000237
er	er	PPER	Duden	tu_59_xTok_000239
anfänglichen	anfänglich	ADJA	Duden	tu_59_xTok_000241
durch	durch	APPR	Duden	tu_59_xTok_000243
6.	6	CARD		tu_59_xTok_000245
Jahr	Jahr	NN	Duden	tu_59_xTok_000247
gedienet	dienen	VVPP	Duden	tu_59_xTok_000248
<g/>
,
sohin	sohin	ADV	Duden	tu_59_xTok_000251
3.	3	CARD		tu_59_xTok_000253
Jahr	Jahr	NN	Duden	tu_59_xTok_000255
lang	lang	ADJD	Duden	tu_59_xTok_000257
die	d	ART	Duden	tu_59_xTok_000259
Baders=profession	Baderprofession	NN	oov	tu_59_xTok_000261
erlernet	erlernen	VVPP	Duden	tu_59_xTok_000264
<g/>
,
in	in	APPR	Duden	tu_59_xTok_000267
welcher	welch	PRELS	Duden	tu_59_xTok_000269
er	er	PPER	Duden	tu_59_xTok_000272
nur	nur	ADV	Duden	tu_59_xTok_000274
noch	noch	ADV	Duden	tu_59_xTok_000276
etliche	etlich	PIAT	Duden	tu_59_xTok_000278
Wochen	Woche	NN	Duden	tu_59_xTok_000280
gehabt	haben	VAPP	Duden	tu_59_xTok_000282
hätte	haben	VAFIN	Duden	tu_59_xTok_000284
<g/>
,
wornach	wornach	PWAV	Duden	tu_59_xTok_000287
er	er	PPER	Duden	tu_59_xTok_000289
frey	frei	PTKVZ	Duden	tu_59_xTok_000291
gesprochen	freisprechen	VVPP	Duden	tu_59_xTok_000293
worden	werden	VAPP	Duden	tu_59_xTok_000296
wäre	sein	VAFIN	Duden	tu_59_xTok_000298
<g/>
.
Es	es	PPER	Duden	tu_59_xTok_000301
hat	haben	VAFIN	Duden	tu_59_xTok_000303
aber	aber	ADV	Duden	tu_59_xTok_000305
dieser	diese	PDAT	Duden	tu_59_xTok_000307
Mensch	Mensch	NN	Duden	tu_59_xTok_000309
schon	schon	ADV	Duden	tu_59_xTok_000311
in	in	APPR	Duden	tu_59_xTok_000313
seiner	sein	PPOSAT	Duden	tu_59_xTok_000315
damaligen	damalig	ADJA	Duden	tu_59_xTok_000317
Jugend	Jugend	NN	Duden	tu_59_xTok_000320
von	von	APPR	Duden	tu_59_xTok_000322
einer	ein	ART	Duden	tu_59_xTok_000324
dergestalt	dergestalt	ADV	Duden	tu_59_xTok_000326
zornig=	zornig	ADJA	Duden	tu_59_xTok_000328
und	und	KON	Duden	tu_59_xTok_000330
Rach=gierigen	rachgierig	ADJA	Duden	tu_59_xTok_000332
Gemütsneigung	Gemütsneigung	NN	DWB	tu_59_xTok_000334
sich	sich	PRF	Duden	tu_59_xTok_000337
einnehmen	einnehmen	VVINF	Duden	tu_59_xTok_000339
lassen	lassen	VVPP	Duden	tu_59_xTok_000341
<g/>
,
daß	dass	KOUS	Duden	tu_59_xTok_000344
<g/>
,
da	da	KOUS	Duden	tu_59_xTok_000347
er	er	PPER	Duden	tu_59_xTok_000349
kurz	kurz	ADJD	Duden	tu_59_xTok_000351
