<doc id="fb_17640831_MariaAnnaN" delinquent_sexes="female" title="Todesurteil Maria Anna N." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_87_xTok_000133
ihres	ihr	PPOSAT	Duden	tu_87_xTok_000135
Verbrechens	Verbrechen	NN	Duden	tu_87_xTok_000137
<g/>
.
</head>
<p id="fb_17640831_MariaAnnaN_p_0001">
Es	es	PPER	Duden	tu_87_xTok_000139
hat	haben	VAFIN	Duden	tu_87_xTok_000142
diese	diese	PDAT	Duden	tu_87_xTok_000144
Delinquentin	Delinquentin	NN	Duden	tu_87_xTok_000146
den	d	ART	Duden	tu_87_xTok_000148
27sten	27	ADJA		tu_87_xTok_000150
Julii	Juli	NN	Duden	tu_87_xTok_000153
dieses	diese	PDAT	Duden	tu_87_xTok_000155
Jahrs	Jahr	NN	Duden	tu_87_xTok_000156
sich	sich	PRF	Duden	tu_87_xTok_000158
höchst	höchst	ADV	Duden	tu_87_xTok_000160
boshaft	boshaft	ADJD	Duden	tu_87_xTok_000162
entschlossen	entschließen	VVPP	Duden	tu_87_xTok_000164
<g/>
,
daß	dass	KOUS	Duden	tu_87_xTok_000167
sie	sie	PPER	Duden	tu_87_xTok_000169
auf	auf	APPR	Duden	tu_87_xTok_000170
das	d	ART	Duden	tu_87_xTok_000172
Feld	Feld	NN	Duden	tu_87_xTok_000174
hinaus	hinaus	PTKVZ	Duden	tu_87_xTok_000176
gehen	hinausgehen	VVINF	Duden	tu_87_xTok_000178
<g/>
,
und	und	KON	Duden	tu_87_xTok_000181
den	d	ART	Duden	tu_87_xTok_000183
ersten	erste	ADJA	Duden	tu_87_xTok_000185
besten	beste	ADJ-NN	Duden	tu_87_xTok_000187
<g/>
,
der	d	PRELS	Duden	tu_87_xTok_000190
ihr	sie	PPER	Duden	tu_87_xTok_000191
unter	unter	APPR	Duden	tu_87_xTok_000193
die	d	ART	Duden	tu_87_xTok_000195
Hände	Hand	NN	Duden	tu_87_xTok_000197
kommen	kommen	VVINF	Duden	tu_87_xTok_000199
würde	werden	VAFIN	Duden	tu_87_xTok_000201
<g/>
,
ermorden	ermorden	VVINF	Duden	tu_87_xTok_000204
wollte	wollen	VMFIN	Duden	tu_87_xTok_000206
<g/>
.
Jn	in	APPR	Duden	tu_87_xTok_000208
wessen	wer	PWAT	Duden	tu_87_xTok_000210
Verfolg	Verfolg	NN	Duden	tu_87_xTok_000212
sie	sie	PPER	Duden	tu_87_xTok_000214
auch	auch	ADV	Duden	tu_87_xTok_000216
<g/>
,
um	um	KOUI	Duden	tu_87_xTok_000219
ihr	ihr	PPOSAT	Duden	tu_87_xTok_000221
diesfällig	diesfällig	ADJD	Duden	tu_87_xTok_000223
mörderisches	mörderisch	ADJA	Duden	tu_87_xTok_000225
Vorhaben	Vorhaben	NN	Duden	tu_87_xTok_000228
in	in	APPR	Duden	tu_87_xTok_000230
