<doc id="fb_17540820_ThomasAugustinH" delinquent_sexes="male" title="Todesurteil Thomas Augustin H." attrs="word lemma pos vocab id">
<head>
Hauptsächlicher	hauptsächlich	ADJA	Duden	tu_60_xTok_000137
Auszug	Auszug	NN	Duden	tu_60_xTok_000139
aus	aus	APPR	Duden	tu_60_xTok_000141
dem	d	ART	Duden	tu_60_xTok_000143
Verlauf	Verlauf	NN	Duden	tu_60_xTok_000145
des	d	ART	Duden	tu_60_xTok_000147
Verbrechens	Verbrechen	NN	Duden	tu_60_xTok_000148
<g/>
:
</head>
<p id="fb_17540820_ThomasAugustinH_p_0001">
ES	es	PPER	Duden	tu_60_xTok_000150
hat	haben	VAFIN	Duden	tu_60_xTok_000153
dieser	diese	PDAT	Duden	tu_60_xTok_000155
Delinquent	Delinquent	NN	Duden	tu_60_xTok_000157
den	d	ART	Duden	tu_60_xTok_000159
2ten	2	ADJA		tu_60_xTok_000161
verflossenen	verflossen	ADJA	Duden	tu_60_xTok_000164
Monats	Monat	NN	Duden	tu_60_xTok_000166
Junii	Juni	NN	Duden	tu_60_xTok_000167
<g/>
,
nachdeme	nachdem	KOUS	Duden	tu_60_xTok_000170
er	er	PPER	Duden	tu_60_xTok_000172
eben	eben	ADV	Duden	tu_60_xTok_000174
solchen	solch	PIAT	Duden	tu_60_xTok_000176
Tag	Tag	NN	Duden	tu_60_xTok_000178
alhier	allhier	ADV	Duden	tu_60_xTok_000180
von	von	APPR	Duden	tu_60_xTok_000182
seinen	sein	PPOSAT	Duden	tu_60_xTok_000184
Eltern	Eltern	NN	Duden	tu_60_xTok_000186
zu	zu	APPR	Duden	tu_60_xTok_000189
Mittag	Mittag	NN	Duden	tu_60_xTok_000191
bewirtet	bewirten	VVPP	Duden	tu_60_xTok_000193
worden	werden	VAPP	Duden	tu_60_xTok_000195
<g/>
,
Abends	abends	ADV	Duden	tu_60_xTok_000198
gegen	gegen	APPR	Duden	tu_60_xTok_000200
9.	9	CARD		tu_60_xTok_000202
Uhr	Uhr	NN	Duden	tu_60_xTok_000204
dahin	dahin	PAV	Duden	tu_60_xTok_000206
frevelhaft	frevelhaft	ADJD	Duden	tu_60_xTok_000207
sich	sich	PRF	Duden	tu_60_xTok_000209
vergangen	vergehen	VVPP	Duden	tu_60_xTok_000211
<g/>
,
daß	dass	KOUS	Duden	tu_60_xTok_000214
<g/>
,
da	da	KOUS	Duden	tu_60_xTok_000217
seine	sein	PPOSAT	Duden	tu_60_xTok_000219
beyde	beide	PIAT	Duden	tu_60_xTok_000221
Eltern	Eltern	NN	Duden	tu_60_xTok_000223
<g/>
,
um	um	KOUI	Duden	tu_60_xTok_000226
sich	sich	PRF	Duden	tu_60_xTok_000227
schlaffen	schlafen	VVINF	Duden	tu_60_xTok_000229
zu	zu	PTKZU	Duden	tu_60_xTok_000231
legen	legen	VVINF	Duden	tu_60_xTok_000233
<g/>
,
bereits	bereits	ADV	Duden	tu_60_xTok_000236
mit	mit	APPR	Duden	tu_60_xTok_000238
Ausziehung	Ausziehung	NN	DWB	tu_60_xTok_000240
ihrer	ihr	PPOSAT	Duden	tu_60_xTok_000242
Kleidungen	Kleidung	NN	Duden	tu_60_xTok_000244
beschäftiget	beschäftigt	ADJD	Duden	tu_60_xTok_000247
waren	sein	VAFIN	Duden	tu_60_xTok_000249
<g/>
,
er	er	PPER	Duden	tu_60_xTok_000252
anfänglich	anfänglich	ADJD	Duden	tu_60_xTok_000254
zwar	zwar	ADV	Duden	tu_60_xTok_000256
mit	mit	APPR	Duden	tu_60_xTok_000258
guten	gut	ADJA	Duden	tu_60_xTok_000260
Worten	Wort	NN	Duden	tu_60_xTok_000262
die	d	ART	Duden	tu_60_xTok_000265
Beherbergung	Beherbergung	NN	Duden	tu_60_xTok_000267
über	über	APPR	Duden	tu_60_xTok_000269
Nacht	Nacht	NN	Duden	tu_60_xTok_000271
für	für	APPR	Duden	tu_60_xTok_000273
