<doc id="fb_17730902_MathiasH" delinquent_sexes="male" title="Todesurteil Mathias H." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_106_xTok_000140
seines	sein	PPOSAT	Duden	tu_106_xTok_000142
Verbrechens	Verbrechen	NN	Duden	tu_106_xTok_000144
<g/>
.
</head>
<p id="fb_17730902_MathiasH_p_0001">
Dieser	diese	PDAT	Duden	tu_106_xTok_000146
Mathias	Matthias	NE	Duden	tu_106_xTok_000149
H.	H.	NE	oov	tu_106_xTok_000151
hat	haben	VAFIN	Duden	tu_106_xTok_000154
in	in	APPR	Duden	tu_106_xTok_000156
seiner	sein	PPOSAT	Duden	tu_106_xTok_000158
Jugend	Jugend	NN	Duden	tu_106_xTok_000160
theils	teils	ADV	Duden	tu_106_xTok_000162
durch	durch	APPR	Duden	tu_106_xTok_000164
das	d	ART	Duden	tu_106_xTok_000166
erlehrnte	erlernen	ADJA	Duden	tu_106_xTok_000167
Zimmerhandwerk	Zimmerhandwerk	NN	Duden	tu_106_xTok_000169
<g/>
,
theils	teils	ADV	Duden	tu_106_xTok_000172
durch	durch	APPR	Duden	tu_106_xTok_000174
Hausknechts=	Hausknechtsdienst	TRUNC	oov	tu_106_xTok_000176
und	und	KON	Duden	tu_106_xTok_000178
Laqueysdienste	Lakaiendienst	NN	oov	tu_106_xTok_000179
den	d	ART	Duden	tu_106_xTok_000181
nöthigen	nötig	ADJA	Duden	tu_106_xTok_000183
Unterhalt	Unterhalt	NN	Duden	tu_106_xTok_000185
gesuchet	suchen	VVPP	Duden	tu_106_xTok_000187
<g/>
.
Da	da	KOUS	Duden	tu_106_xTok_000190
er	er	PPER	Duden	tu_106_xTok_000192
aber	aber	ADV	Duden	tu_106_xTok_000193
im	im	APPRART	Duden	tu_106_xTok_000195
Jahre	Jahr	NN	Duden	tu_106_xTok_000197
1764	1764	CARD		tu_106_xTok_000199
seinem	sein	PPOSAT	Duden	tu_106_xTok_000201
damaligen	damalig	ADJA	Duden	tu_106_xTok_000203
Dienstherrn	Dienstherr	NN	Duden	tu_106_xTok_000205
zu	zu	APPR	Duden	tu_106_xTok_000207
Fridau	Fridau	NE::top	oov	tu_106_xTok_000209
in	in	APPR	Duden	tu_106_xTok_000211
Steyermarkt	Steiermark	NE::top	Duden	tu_106_xTok_000212
ein	ein	ART	Duden	tu_106_xTok_000214
