<doc id="fb_17391110_JohannK" delinquent_sexes="male" title="Todesurteil Johann K." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_15_xTok_000322
des	d	ART	Duden	tu_15_xTok_000325
Verbrechens	Verbrechen	NN	Duden	tu_15_xTok_000327
dises	diese	PDAT	Duden	tu_15_xTok_000330
Maleficantens	Malefikant	NN	Duden	tu_15_xTok_000331
<g/>
.
</head>
<p id="fb_17391110_JohannK_p_0001">
Dieser	diese	PDAT	Duden	tu_15_xTok_000334
anheutige	anheute	ADJA	DWB	tu_15_xTok_000336
aufgesetzte	aufsetzen	ADJA	Duden	tu_15_xTok_000338
Delinquent	Delinquent	NN	Duden	tu_15_xTok_000340
ist	sein	VAFIN	Duden	tu_15_xTok_000342
vorhin	vorhin	ADV	Duden	tu_15_xTok_000344
wegen	wegen	APPR	Duden	tu_15_xTok_000346
vielfältigen	vielfältig	ADJA	Duden	tu_15_xTok_000347
Diebereyen	Dieberei	NN	Duden	tu_15_xTok_000349
zu	zu	APPR	Duden	tu_15_xTok_000351
drey	drei	CARD	Duden	tu_15_xTok_000353
unterschiedlichen	unterschiedlich	ADJA	Duden	tu_15_xTok_000355
mahlen	Mal	NN	Duden	tu_15_xTok_000357
criminaliter	kriminaliter	ADJD	oov	tu_15_xTok_000359
processiret	prozessieren	VVPP	Duden	tu_15_xTok_000361
<g/>
/
zweymahlen	zweimal	ADV	Duden	tu_15_xTok_000366
mit	mit	APPR	Duden	tu_15_xTok_000368
dem	d	ART	Duden	tu_15_xTok_000370
Zucht=Hauß	Zuchthaus	NN	Duden	tu_15_xTok_000372
ein	ein	CARD	Duden	tu_15_xTok_000374
und	und	KON	Duden	tu_15_xTok_000376
zwey	zwei	CARD	Duden	tu_15_xTok_000378
Jahr	Jahr	NN	Duden	tu_15_xTok_000380
lang	lang	ADJD	Duden	tu_15_xTok_000382
abgestraffet	abstrafen	VVPP	Duden	tu_15_xTok_000384
<g/>
/
letzlichen	letztlich	ADV	Duden	tu_15_xTok_000389
aber	aber	ADV	Duden	tu_15_xTok_000391
auf	auf	APPR	Duden	tu_15_xTok_000393
sechs	sechs	CARD	Duden	tu_15_xTok_000395
Jahr	Jahr	NN	Duden	tu_15_xTok_000397
lang	lang	ADJD	Duden	tu_15_xTok_000399
nacher	nacher	APPR	DWB	tu_15_xTok_000401
Raab	Raab	NE::top	Duden	tu_15_xTok_000403
nebst	nebst	APPR	Duden	tu_15_xTok_000405
Hinterlassung	Hinterlassung	NN	Duden	tu_15_xTok_000407
einer	ein	ART	Duden	tu_15_xTok_000409
zum	zum	APPRART	Duden	tu_15_xTok_000411
dritten	dritte	ADJA	Duden	tu_15_xTok_000413
mahl	Mal	NN	Duden	tu_15_xTok_000413b
geschwornen	geschworen	ADJA	Duden	tu_15_xTok_000415
Urphed	Urfehde	NN	Duden	tu_15_xTok_000417
condemniret	kondemnieren	VVPP	Duden	tu_15_xTok_000419
<g/>
;
immittels	immittels	ADV	DWB	tu_15_xTok_000423
aber	aber	ADV	Duden	tu_15_xTok_000425
wegen	wegen	APPR	Duden	tu_15_xTok_000427
fürwährender	fürwährend	ADJA	DWB	tu_15_xTok_000429
Hungarischen	ungarisch	ADJA	Duden	tu_15_xTok_000432
Contagion	Kontagion	NN	Duden	tu_15_xTok_000434
in	in	APPR	Duden	tu_15_xTok_000436
allhiesiges	allhiesig	ADJA	DWB	tu_15_xTok_000438
Gnaden=Stockhauß	Gnaden-Stockhaus	NN	oov	tu_15_xTok_000440
verleget	verlegen	VVPP	DWB	tu_15_xTok_000443
worden	werden	VAPP	Duden	tu_15_xTok_000445
<g/>
/
daselbst	daselbst	ADV	Duden	tu_15_xTok_000449
aber	aber	ADV	Duden	tu_15_xTok_000451
um	um	APPR	Duden	tu_15_xTok_000453
solch	solch	PIAT	Duden	tu_15_xTok_000455
seiner	sein	PPOSAT	Duden	tu_15_xTok_000457
sechs jährigen	sechsjährig	ADJA		tu_15_xTok_000459
Straff=Zeit	Strafzeit	NN	Duden	tu_15_xTok_000463
zu	zu	PTKZU	Duden	tu_15_xTok_000465
entgehen	entgehen	VVINF	Duden	tu_15_xTok_000467
<g/>
/
mit	mit	APPR	Duden	tu_15_xTok_000472
einen	ein	ART	Duden	tu_15_xTok_000474
zu Handen	zuhanden	APPR		tu_15_xTok_000476
genommenen	nehmen	ADJA	Duden	tu_15_xTok_000480
schwären	schwer	ADJA	Duden	tu_15_xTok_000482
vierecktigten	viereckig	ADJA	Duden	tu_15_xTok_000484
Marmorstein	Marmorstein	NN	Duden	tu_15_xTok_000487
einen	ein	ART	Duden	tu_15_xTok_000489
nebst	nebst	APPR	Duden	tu_15_xTok_000491
ihme	er	PPER	Duden	tu_15_xTok_000493
in	in	APPR	Duden	tu_15_xTok_000495
bemeldter	bemelden	ADJA	DWB	tu_15_xTok_000497
Stockhauß=Gefängnus	Stockhausgefängnis	NN	oov	tu_15_xTok_000499
